account_id,statement_month,months_on_book,days_past_due,balance,collections_contact_flag
A100008,2024-08-28,21,0,65054,0
A100008,2024-09-28,22,0,60717,0
A100008,2024-10-28,23,0,56380,0
A100008,2024-11-28,24,0,52043,0
A100009,2025-06-28,1,0,21168,0
A100009,2025-07-28,2,0,20248,0
A100009,2025-08-28,3,0,19327,0
A100009,2025-09-28,4,0,18407,0
A100009,2025-10-28,5,0,17487,0
A100009,2025-11-28,6,0,16566,0
A100009,2025-12-28,7,0,15646,0
A100009,2026-01-28,8,0,14726,0
A100009,2026-02-28,9,0,13805,0
A100009,2026-03-28,10,0,12885,0
A100010,2022-07-28,1,0,63127,0
A100010,2022-08-28,2,0,60382,0
A100010,2022-09-28,3,0,57638,0
A100010,2022-10-28,4,0,54893,0
A100010,2022-11-28,5,0,52148,0
A100010,2022-12-28,6,0,49404,0
A100010,2023-01-28,7,0,46659,0
A100010,2023-02-28,8,0,43914,0
A100010,2023-03-28,9,0,41170,0
A100010,2023-04-28,10,0,38425,0
A100010,2023-05-28,11,0,35680,0
A100010,2023-06-28,12,0,32936,0
A100010,2023-07-28,13,0,30191,0
A100010,2023-08-28,14,0,27446,0
A100010,2023-09-28,15,0,24702,0
A100010,2023-10-28,16,0,21957,0
A100010,2023-11-28,17,0,19212,0
A100010,2023-12-28,18,0,16468,0
A100010,2024-01-28,19,0,13723,0
A100010,2024-02-28,20,0,10978,0
A100010,2024-03-28,21,0,8234,0
A100010,2024-04-28,22,0,5489,0
A100010,2024-05-28,23,0,2744,0
A100010,2024-06-28,24,0,0,0
A100011,2022-12-28,1,0,117004,0
A100011,2023-01-28,2,30,114515,1
A100011,2023-02-28,3,0,112025,0
A100011,2023-03-28,4,0,109536,0
A100011,2023-04-28,5,0,107046,0
A100011,2023-05-28,6,0,104557,0
A100011,2023-06-28,7,0,102067,0
A100011,2023-07-28,8,0,99578,0
A100011,2023-08-28,9,0,97088,0
A100011,2023-09-28,10,0,94599,0
A100011,2023-10-28,11,0,92109,0
A100011,2023-11-28,12,0,89620,0
A100011,2023-12-28,13,0,87131,0
A100011,2024-01-28,14,0,84641,1
A100011,2024-02-28,15,0,82152,0
A100011,2024-03-28,16,0,79662,0
A100011,2024-04-28,17,0,77173,0
A100011,2024-05-28,18,0,74683,0
A100011,2024-06-28,19,0,72194,0
A100011,2024-07-28,20,0,69704,0
A100011,2024-08-28,21,0,67215,0
A100011,2024-09-28,22,0,64725,0
A100011,2024-10-28,23,0,62236,0
A100011,2024-11-28,24,0,59747,0
A100012,2022-10-28,1,0,98403,1
A100012,2022-11-28,2,0,94125,0
A100012,2022-12-28,3,0,89846,0
A100012,2023-01-28,4,0,85568,0
A100012,2023-02-28,5,0,81289,1
A100012,2023-03-28,6,0,77011,0
A100012,2023-04-28,7,0,72733,0
A100012,2023-05-28,8,0,68454,0
A100012,2023-06-28,9,30,64176,1
A100012,2023-07-28,10,0,59897,1
A100012,2023-08-28,11,0,55619,0
A100012,2023-09-28,12,0,51341,0
A100012,2023-10-28,13,0,47062,0
A100012,2023-11-28,14,0,42784,0
A100012,2023-12-28,15,0,38505,0
A100012,2024-01-28,16,0,34227,0
A100012,2024-02-28,17,0,29948,0
A100012,2024-03-28,18,0,25670,0
A100012,2024-04-28,19,0,21392,0
A100012,2024-05-28,20,0,17113,0
A100012,2024-06-28,21,0,12835,0
A100012,2024-07-28,22,0,8556,1
A100012,2024-08-28,23,0,4278,0
A100012,2024-09-28,24,0,0,0
A100013,2024-04-28,1,0,58532,0
A100013,2024-05-28,2,0,55987,0
A100013,2024-06-28,3,0,53442,0
A100013,2024-07-28,4,0,50897,0
A100013,2024-08-28,5,0,48352,0
A100013,2024-09-28,6,0,45807,0
A100013,2024-10-28,7,0,43262,0
A100013,2024-11-28,8,0,40718,1
A100013,2024-12-28,9,0,38173,0
A100013,2025-01-28,10,15,35628,0
A100013,2025-02-28,11,0,33083,0
A100013,2025-03-28,12,0,30538,0
A100013,2025-04-28,13,0,27993,0
A100013,2025-05-28,14,0,25448,0
A100013,2025-06-28,15,0,22903,0
A100013,2025-07-28,16,0,20359,0
A100013,2025-08-28,17,0,17814,0
A100013,2025-09-28,18,0,15269,0
A100013,2025-10-28,19,0,12724,0
A100013,2025-11-28,20,0,10179,0
A100013,2025-12-28,21,0,7634,0
A100013,2026-01-28,22,0,5089,0
A100013,2026-02-28,23,0,2544,0
A100013,2026-03-28,24,0,0,0
A100014,2023-09-28,1,0,253495,0
A100014,2023-10-28,2,0,248101,0
A100014,2023-11-28,3,0,242708,0
A100014,2023-12-28,4,0,237314,0
A100014,2024-01-28,5,0,231921,0
A100014,2024-02-28,6,0,226527,0
A100014,2024-03-28,7,0,221134,0
A100014,2024-04-28,8,0,215740,0
A100014,2024-05-28,9,0,210347,0
A100014,2024-06-28,10,0,204953,0
A100014,2024-07-28,11,0,199560,0
A100014,2024-08-28,12,0,194166,0
A100014,2024-09-28,13,30,188773,1
A100014,2024-10-28,14,0,183379,0
A100014,2024-11-28,15,0,177986,0
A100014,2024-12-28,16,0,172592,0
A100014,2025-01-28,17,0,167199,0
A100014,2025-02-28,18,0,161805,0
A100014,2025-03-28,19,0,156412,0
A100014,2025-04-28,20,0,151018,0
A100014,2025-05-28,21,0,145625,0
A100014,2025-06-28,22,0,140231,0
A100014,2025-07-28,23,0,134838,0
A100014,2025-08-28,24,15,129444,0
A100015,2023-11-28,1,0,113837,0
A100015,2023-12-28,2,0,108888,0
A100015,2024-01-28,3,30,103938,1
A100015,2024-02-28,4,30,98989,1
A100015,2024-03-28,5,30,94039,1
A100015,2024-04-28,6,30,89090,1
A100015,2024-05-28,7,90,84140,1
A100015,2024-06-28,8,120,79191,1
A100015,2024-07-28,9,150,74241,1
A100015,2024-08-28,10,180,69292,1
A100015,2024-09-28,11,180,64342,1
A100015,2024-10-28,12,180,59393,1
A100015,2024-11-28,13,180,54444,0
A100015,2024-12-28,14,180,49494,1
A100015,2025-01-28,15,180,44545,1
A100015,2025-02-28,16,180,39595,1
A100015,2025-03-28,17,180,34646,0
A100015,2025-04-28,18,180,29696,1
A100015,2025-05-28,19,180,24747,1
A100015,2025-06-28,20,180,19797,1
A100015,2025-07-28,21,180,14848,1
A100015,2025-08-28,22,180,9898,1
A100015,2025-09-28,23,180,4949,1
A100015,2025-10-28,24,180,0,1
A100016,2023-01-28,1,0,179351,0
A100016,2023-02-28,2,0,174227,0
A100016,2023-03-28,3,0,169103,0
A100016,2023-04-28,4,0,163978,0
A100016,2023-05-28,5,0,158854,0
A100016,2023-06-28,6,0,153730,1
A100016,2023-07-28,7,0,148605,0
A100016,2023-08-28,8,0,143481,0
A100016,2023-09-28,9,0,138357,0
A100016,2023-10-28,10,0,133232,0
A100016,2023-11-28,11,0,128108,0
A100016,2023-12-28,12,0,122984,0
A100016,2024-01-28,13,0,117859,0
A100016,2024-02-28,14,0,112735,0
A100016,2024-03-28,15,0,107610,0
A100016,2024-04-28,16,0,102486,0
A100016,2024-05-28,17,0,97362,0
A100016,2024-06-28,18,0,92238,0
A100016,2024-07-28,19,0,87113,0
A100016,2024-08-28,20,0,81989,0
A100016,2024-09-28,21,0,76865,0
A100016,2024-10-28,22,0,71740,0
A100016,2024-11-28,23,0,66616,0
A100016,2024-12-28,24,0,61492,0
A100017,2022-10-28,1,0,388147,0
A100017,2022-11-28,2,0,381568,0
A100017,2022-12-28,3,0,374989,0
A100017,2023-01-28,4,0,368410,0
A100017,2023-02-28,5,0,361832,0
A100017,2023-03-28,6,0,355253,0
A100017,2023-04-28,7,0,348674,0
A100017,2023-05-28,8,0,342095,0
A100017,2023-06-28,9,0,335517,0
A100017,2023-07-28,10,0,328938,0
A100017,2023-08-28,11,0,322359,0
A100017,2023-09-28,12,0,315780,0
A100017,2023-10-28,13,0,309202,0
A100017,2023-11-28,14,0,302623,0
A100017,2023-12-28,15,0,296044,0
A100017,2024-01-28,16,0,289465,0
A100017,2024-02-28,17,0,282886,0
A100017,2024-03-28,18,0,276308,0
A100017,2024-04-28,19,0,269729,0
A100017,2024-05-28,20,0,263150,0
A100017,2024-06-28,21,0,256571,0
A100017,2024-07-28,22,0,249993,0
A100017,2024-08-28,23,0,243414,0
A100017,2024-09-28,24,0,236835,0
A100018,2024-07-28,1,0,274308,0
A100018,2024-08-28,2,0,266471,0
A100018,2024-09-28,3,0,258633,0
A100018,2024-10-28,4,0,250796,0
A100018,2024-11-28,5,0,242959,0
A100018,2024-12-28,6,0,235121,0
A100018,2025-01-28,7,0,227284,0
A100018,2025-02-28,8,0,219446,0
A100018,2025-03-28,9,0,211609,1
A100018,2025-04-28,10,0,203772,0
A100018,2025-05-28,11,0,195934,0
A100018,2025-06-28,12,0,188097,0
A100018,2025-07-28,13,0,180259,0
A100018,2025-08-28,14,0,172422,0
A100018,2025-09-28,15,0,164585,0
A100018,2025-10-28,16,0,156747,0
A100018,2025-11-28,17,0,148910,0
A100018,2025-12-28,18,0,141073,0
A100018,2026-01-28,19,0,133235,0
A100018,2026-02-28,20,0,125398,0
A100018,2026-03-28,21,0,117560,0
A100019,2022-04-28,1,0,410277,0
A100019,2022-05-28,2,0,404498,0
A100019,2022-06-28,3,0,398720,0
A100019,2022-07-28,4,0,392941,0
A100019,2022-08-28,5,0,387163,0
A100019,2022-09-28,6,0,381384,0
A100019,2022-10-28,7,0,375606,0
A100019,2022-11-28,8,0,369827,0
A100019,2022-12-28,9,0,364049,0
A100019,2023-01-28,10,15,358270,0
A100019,2023-02-28,11,0,352491,0
A100019,2023-03-28,12,0,346713,0
A100019,2023-04-28,13,0,340934,0
A100019,2023-05-28,14,0,335156,0
A100019,2023-06-28,15,0,329377,0
A100019,2023-07-28,16,0,323599,0
A100019,2023-08-28,17,0,317820,0
A100019,2023-09-28,18,0,312042,0
A100019,2023-10-28,19,0,306263,0
A100019,2023-11-28,20,0,300484,0
A100019,2023-12-28,21,0,294706,0
A100019,2024-01-28,22,0,288927,0
A100019,2024-02-28,23,0,283149,0
A100019,2024-03-28,24,0,277370,0
A100020,2024-09-28,1,0,176498,0
A100020,2024-10-28,2,0,173507,0
A100020,2024-11-28,3,0,170515,0
A100020,2024-12-28,4,0,167524,0
A100020,2025-01-28,5,0,164532,0
A100020,2025-02-28,6,0,161541,0
A100020,2025-03-28,7,0,158549,0
A100020,2025-04-28,8,0,155558,0
A100020,2025-05-28,9,0,152566,0
A100020,2025-06-28,10,0,149575,0
A100020,2025-07-28,11,0,146583,0
A100020,2025-08-28,12,0,143592,0
A100020,2025-09-28,13,0,140600,0
A100020,2025-10-28,14,0,137609,0
A100020,2025-11-28,15,0,134617,0
A100020,2025-12-28,16,0,131626,0
A100020,2026-01-28,17,0,128634,0
A100020,2026-02-28,18,0,125642,0
A100020,2026-03-28,19,0,122651,0
A100021,2023-12-28,1,0,35348,0
A100021,2024-01-28,2,0,33811,0
A100021,2024-02-28,3,0,32274,1
A100021,2024-03-28,4,0,30737,0
A100021,2024-04-28,5,0,29200,0
A100021,2024-05-28,6,0,27663,0
A100021,2024-06-28,7,0,26126,0
A100021,2024-07-28,8,0,24590,0
A100021,2024-08-28,9,0,23053,0
A100021,2024-09-28,10,0,21516,0
A100021,2024-10-28,11,0,19979,0
A100021,2024-11-28,12,0,18442,0
A100021,2024-12-28,13,0,16905,0
A100021,2025-01-28,14,0,15368,0
A100021,2025-02-28,15,0,13831,0
A100021,2025-03-28,16,0,12295,0
A100021,2025-04-28,17,0,10758,0
A100021,2025-05-28,18,0,9221,0
A100021,2025-06-28,19,0,7684,0
A100021,2025-07-28,20,0,6147,0
A100021,2025-08-28,21,0,4610,0
A100021,2025-09-28,22,0,3073,0
A100021,2025-10-28,23,0,1536,0
A100021,2025-11-28,24,0,0,0
A100022,2023-07-28,1,30,44836,0
A100022,2023-08-28,2,30,42887,1
A100022,2023-09-28,3,30,40937,0
A100022,2023-10-28,4,30,38988,0
A100022,2023-11-28,5,30,37038,1
A100022,2023-12-28,6,30,35089,1
A100022,2024-01-28,7,30,33140,1
A100022,2024-02-28,8,30,31190,1
A100022,2024-03-28,9,30,29241,1
A100022,2024-04-28,10,30,27291,0
A100022,2024-05-28,11,30,25342,1
A100022,2024-06-28,12,30,23393,1
A100022,2024-07-28,13,30,21443,1
A100022,2024-08-28,14,30,19494,1
A100022,2024-09-28,15,30,17544,1
A100022,2024-10-28,16,30,15595,1
A100022,2024-11-28,17,30,13645,0
A100022,2024-12-28,18,30,11696,1
A100022,2025-01-28,19,30,9747,1
A100022,2025-02-28,20,30,7797,1
A100022,2025-03-28,21,30,5848,1
A100022,2025-04-28,22,30,3898,1
A100022,2025-05-28,23,30,1949,1
A100022,2025-06-28,24,30,0,1
A100023,2024-09-28,1,0,265161,0
A100023,2024-10-28,2,0,257585,0
A100023,2024-11-28,3,0,250009,0
A100023,2024-12-28,4,0,242433,0
A100023,2025-01-28,5,0,234857,0
A100023,2025-02-28,6,0,227281,0
A100023,2025-03-28,7,0,219705,0
A100023,2025-04-28,8,0,212129,0
A100023,2025-05-28,9,0,204553,0
A100023,2025-06-28,10,0,196977,0
A100023,2025-07-28,11,0,189401,0
A100023,2025-08-28,12,0,181825,0
A100023,2025-09-28,13,0,174249,0
A100023,2025-10-28,14,0,166673,0
A100023,2025-11-28,15,0,159097,0
A100023,2025-12-28,16,0,151521,0
A100023,2026-01-28,17,0,143945,0
A100023,2026-02-28,18,0,136369,0
A100023,2026-03-28,19,0,128792,0
A100024,2023-10-28,1,0,50197,0
A100024,2023-11-28,2,0,48015,0
A100024,2023-12-28,3,0,45832,0
A100024,2024-01-28,4,0,43650,0
A100024,2024-02-28,5,0,41467,0
A100024,2024-03-28,6,0,39285,0
A100024,2024-04-28,7,0,37102,0
A100024,2024-05-28,8,0,34920,0
A100024,2024-06-28,9,0,32737,1
A100024,2024-07-28,10,0,30554,0
A100024,2024-08-28,11,0,28372,0
A100024,2024-09-28,12,0,26190,0
A100024,2024-10-28,13,0,24007,0
A100024,2024-11-28,14,0,21824,0
A100024,2024-12-28,15,0,19642,0
A100024,2025-01-28,16,0,17460,0
A100024,2025-02-28,17,0,15277,0
A100024,2025-03-28,18,0,13095,1
A100024,2025-04-28,19,0,10912,0
A100024,2025-05-28,20,0,8729,0
A100024,2025-06-28,21,0,6547,0
A100024,2025-07-28,22,0,4365,0
A100024,2025-08-28,23,0,2182,0
A100024,2025-09-28,24,0,0,0
A100025,2023-10-28,1,0,37569,0
A100025,2023-11-28,2,0,36770,0
A100025,2023-12-28,3,0,35970,0
A100025,2024-01-28,4,0,35171,0
A100025,2024-02-28,5,0,34372,1
A100025,2024-03-28,6,0,33572,0
A100025,2024-04-28,7,15,32773,0
A100025,2024-05-28,8,0,31974,0
A100025,2024-06-28,9,0,31174,0
A100025,2024-07-28,10,0,30375,0
A100025,2024-08-28,11,0,29576,0
A100025,2024-09-28,12,0,28776,0
A100025,2024-10-28,13,0,27977,0
A100025,2024-11-28,14,0,27178,0
A100025,2024-12-28,15,0,26378,1
A100025,2025-01-28,16,0,25579,0
A100025,2025-02-28,17,0,24779,0
A100025,2025-03-28,18,0,23980,0
A100025,2025-04-28,19,30,23181,1
A100025,2025-05-28,20,0,22381,0
A100025,2025-06-28,21,0,21582,0
A100025,2025-07-28,22,0,20783,0
A100025,2025-08-28,23,0,19983,0
A100025,2025-09-28,24,0,19184,0
A100026,2024-04-28,1,0,78809,0
A100026,2024-05-28,2,30,77132,1
A100026,2024-06-28,3,30,75455,1
A100026,2024-07-28,4,30,73778,0
A100026,2024-08-28,5,30,72102,1
A100026,2024-09-28,6,30,70425,1
A100026,2024-10-28,7,30,68748,1
A100026,2024-11-28,8,30,67071,1
A100026,2024-12-28,9,90,65394,0
A100026,2025-01-28,10,120,63718,1
A100026,2025-02-28,11,150,62041,1
A100026,2025-03-28,12,180,60364,1
A100026,2025-04-28,13,180,58687,1
A100026,2025-05-28,14,180,57010,1
A100026,2025-06-28,15,180,55334,1
A100026,2025-07-28,16,180,53657,1
A100026,2025-08-28,17,180,51980,1
A100026,2025-09-28,18,180,50303,1
A100026,2025-10-28,19,180,48626,1
A100026,2025-11-28,20,180,46950,1
A100026,2025-12-28,21,180,45273,1
A100026,2026-01-28,22,180,43596,1
A100026,2026-02-28,23,180,41919,1
A100026,2026-03-28,24,180,40243,1
A100027,2026-01-28,1,0,216223,0
A100027,2026-02-28,2,0,213178,0
A100027,2026-03-28,3,0,210132,0
A100028,2023-09-28,1,0,175410,0
A100028,2023-10-28,2,0,171678,0
A100028,2023-11-28,3,15,167946,0
A100028,2023-12-28,4,0,164214,0
A100028,2024-01-28,5,0,160482,0
A100028,2024-02-28,6,0,156750,0
A100028,2024-03-28,7,0,153017,0
A100028,2024-04-28,8,0,149285,0
A100028,2024-05-28,9,0,145553,0
A100028,2024-06-28,10,0,141821,0
A100028,2024-07-28,11,0,138089,0
A100028,2024-08-28,12,0,134357,0
A100028,2024-09-28,13,0,130625,0
A100028,2024-10-28,14,0,126892,0
A100028,2024-11-28,15,0,123160,0
A100028,2024-12-28,16,0,119428,0
A100028,2025-01-28,17,0,115696,0
A100028,2025-02-28,18,0,111964,0
A100028,2025-03-28,19,0,108232,0
A100028,2025-04-28,20,0,104500,0
A100028,2025-05-28,21,0,100767,0
A100028,2025-06-28,22,0,97035,0
A100028,2025-07-28,23,0,93303,0
A100028,2025-08-28,24,0,89571,0
A100029,2024-02-28,1,0,728274,0
A100029,2024-03-28,2,0,715930,0
A100029,2024-04-28,3,0,703587,0
A100029,2024-05-28,4,0,691243,0
A100029,2024-06-28,5,0,678899,0
A100029,2024-07-28,6,0,666556,0
A100029,2024-08-28,7,0,654212,0
A100029,2024-09-28,8,0,641868,0
A100029,2024-10-28,9,0,629525,0
A100029,2024-11-28,10,0,617181,0
A100029,2024-12-28,11,0,604838,0
A100029,2025-01-28,12,0,592494,0
A100029,2025-02-28,13,0,580150,1
A100029,2025-03-28,14,0,567807,0
A100029,2025-04-28,15,0,555463,0
A100029,2025-05-28,16,0,543119,0
A100029,2025-06-28,17,0,530776,0
A100029,2025-07-28,18,0,518432,0
A100029,2025-08-28,19,0,506088,0
A100029,2025-09-28,20,0,493745,0
A100029,2025-10-28,21,15,481401,0
A100029,2025-11-28,22,0,469058,0
A100029,2025-12-28,23,0,456714,0
A100029,2026-01-28,24,0,444370,0
A100030,2025-01-28,1,0,217263,0
A100030,2025-02-28,2,0,207817,0
A100030,2025-03-28,3,0,198371,0
A100030,2025-04-28,4,0,188925,1
A100030,2025-05-28,5,0,179478,0
A100030,2025-06-28,6,0,170032,1
A100030,2025-07-28,7,0,160586,0
A100030,2025-08-28,8,0,151140,0
A100030,2025-09-28,9,0,141693,0
A100030,2025-10-28,10,0,132247,0
A100030,2025-11-28,11,0,122801,0
A100030,2025-12-28,12,0,113355,0
A100030,2026-01-28,13,0,103908,0
A100030,2026-02-28,14,0,94462,0
A100030,2026-03-28,15,0,85016,0
A100031,2022-03-28,1,0,117870,0
A100031,2022-04-28,2,0,114502,0
A100031,2022-05-28,3,0,111134,0
A100031,2022-06-28,4,30,107767,0
A100031,2022-07-28,5,30,104399,1
A100031,2022-08-28,6,30,101031,1
A100031,2022-09-28,7,30,97663,1
A100031,2022-10-28,8,30,94296,0
A100031,2022-11-28,9,30,90928,1
A100031,2022-12-28,10,30,87560,1
A100031,2023-01-28,11,30,84193,1
A100031,2023-02-28,12,30,80825,0
A100031,2023-03-28,13,30,77457,1
A100031,2023-04-28,14,30,74089,1
A100031,2023-05-28,15,30,70722,1
A100031,2023-06-28,16,30,67354,1
A100031,2023-07-28,17,30,63986,1
A100031,2023-08-28,18,30,60619,0
A100031,2023-09-28,19,30,57251,1
A100031,2023-10-28,20,30,53883,1
A100031,2023-11-28,21,30,50515,1
A100031,2023-12-28,22,30,47148,1
A100031,2024-01-28,23,30,43780,1
A100031,2024-02-28,24,30,40412,0
A100032,2024-11-28,1,0,42425,0
A100032,2024-12-28,2,0,40580,0
A100032,2025-01-28,3,0,38736,0
