account_id,bureau_score,enquiries_6m,other_lenders
TH-102982,604,1,1
TH-100353,526,4,2
TH-104448,700,2,1
TH-100306,721,3,2
TH-101989,666,6,2
TH-104328,574,1,1
TH-101105,532,1,2
TH-100032,479,1,2
TH-104288,606,0,1
TH-103314,551,0,3
TH-100363,594,2,3
TH-101246,724,2,3
TH-103560,635,0,1
TH-101011,629,2,0
TH-103394,458,0,4
TH-103943,514,2,0
TH-101567,776,0,4
TH-100989,561,4,2
TH-101364,618,2,5
TH-104412,562,1,0
TH-100454,636,1,3
TH-101043,677,1,3
TH-102848,607,0,1
TH-100634,508,0,2
TH-103548,543,1,3
TH-103059,541,0,3
TH-100963,588,1,2
TH-102547,721,0,1
TH-103250,667,1,2
TH-102527,693,1,2
TH-104811,591,0,0
TH-101639,485,0,2
TH-100075,592,3,1
TH-104882,637,1,0
TH-104027,562,1,3
TH-101133,682,1,0
TH-102055,746,2,0
TH-104512,541,1,1
TH-101413,645,2,4
TH-104349,614,0,4
TH-103289,807,3,4
TH-100086,622,1,1
TH-101427,622,0,1
TH-101435,606,0,2
TH-102307,677,0,5
TH-102339,528,0,3
TH-104376,712,3,1
TH-103022,821,1,1
TH-103759,758,5,2
TH-104586,602,1,1
TH-100082,546,3,4
TH-104550,532,1,1
TH-100467,658,3,1
TH-104848,585,0,2
TH-103325,617,0,1
TH-102143,637,0,0
TH-104609,629,3,4
TH-104977,561,2,1
TH-102858,615,4,2
TH-104764,675,2,3
TH-101143,679,1,1
TH-102035,623,0,0
TH-100498,618,0,4
TH-102263,719,0,4
TH-103804,741,2,3
TH-101406,566,1,2
TH-104449,670,1,2
TH-104292,561,0,2
TH-104410,534,1,2
TH-101788,608,6,2
TH-102698,566,1,0
TH-104104,523,1,3
TH-103273,445,3,1
TH-104803,565,2,1
TH-102871,781,3,1
TH-101535,559,1,0
TH-103545,557,4,0
TH-101174,732,0,1
TH-100443,639,3,1
TH-101078,664,1,1
TH-103167,594,0,0
TH-102992,670,1,3
TH-101527,603,2,2
TH-104249,566,2,2
TH-101071,675,2,1
TH-101231,694,1,1
TH-104889,663,1,4
TH-103196,682,3,2
TH-104834,671,3,2
TH-100939,630,3,1
TH-103123,774,4,1
TH-103353,575,1,1
TH-102277,633,0,0
TH-103098,734,0,4
TH-100765,625,2,5
TH-103556,652,1,1
TH-101264,779,5,3
TH-100667,561,0,1
TH-104527,579,2,0
TH-103454,463,2,1
TH-102695,568,2,3
TH-102932,568,0,1
TH-100038,597,1,2
TH-103636,658,0,2
TH-102076,537,1,2
TH-103148,578,3,0
TH-101816,440,1,1
TH-101488,498,1,0
TH-104031,541,2,0
TH-102455,692,2,1
TH-102081,575,0,2
TH-101175,527,1,2
TH-100527,547,0,1
TH-103402,548,1,3
TH-100906,494,2,2
TH-101782,668,1,1
TH-103460,675,3,1
TH-100111,696,1,3
TH-104008,544,2,0
TH-103790,582,0,0
TH-100378,673,1,0
TH-102945,651,3,3
TH-100874,670,0,1
TH-100836,541,2,2
TH-103791,674,1,0
TH-103801,764,2,1
TH-104081,607,1,2
TH-102660,619,2,1
TH-100051,603,1,2
TH-101861,630,0,2
TH-104995,681,2,1
TH-100217,518,0,1
TH-104313,563,0,3
TH-101759,613,4,1
TH-104821,517,0,2
TH-100480,656,2,2
TH-102318,678,2,2
TH-103260,733,1,3
TH-103909,555,1,1
TH-103860,741,1,0
TH-101640,685,0,0
TH-104632,593,0,3
TH-104236,666,0,1
TH-102225,598,0,3
TH-101847,574,0,0
TH-103869,661,1,0
TH-100162,694,2,2
TH-102979,604,1,3
TH-104783,610,3,2
TH-104375,611,1,0
TH-104708,718,1,1
TH-104471,657,2,0
TH-100546,726,2,0
TH-104172,521,1,2
TH-101111,615,1,1
TH-101973,666,1,1
TH-100303,648,0,3
TH-102421,550,2,2
TH-102216,557,0,5
TH-104394,558,1,5
TH-104781,624,1,5
TH-102925,646,1,3
TH-101641,656,0,4
TH-104388,530,2,1
TH-100025,534,1,2
TH-101447,519,1,2
TH-101946,657,1,1
TH-104476,677,1,2
TH-103124,652,0,3
TH-101957,494,2,0
TH-102742,579,3,2
TH-104068,850,2,2
TH-102603,570,1,0
TH-102481,669,2,5
TH-101505,666,0,1
TH-104951,548,2,1
TH-104281,556,3,4
TH-104620,544,0,2
TH-101689,680,0,4
TH-103227,605,4,3
TH-100061,553,0,1
TH-100888,692,0,3
TH-100766,571,1,3
TH-103720,376,1,0
TH-104636,572,0,1
TH-103470,655,0,2
TH-103887,594,2,1
TH-103265,538,0,2
TH-100937,620,0,2
TH-103306,600,1,4
TH-100495,623,0,1
TH-103742,712,3,3
TH-100332,669,2,2
TH-103245,751,2,2
TH-101072,665,2,5
TH-101988,706,0,1
TH-101059,557,0,4
TH-103915,479,1,1
TH-100588,549,2,4
TH-102773,647,2,1
TH-101908,713,2,3
TH-104777,673,1,1
TH-102875,525,2,2
TH-101549,628,1,0
TH-103294,680,1,2
TH-101921,719,2,1
TH-102392,693,0,2
TH-101202,620,1,1
TH-103875,627,2,0
TH-101042,584,0,1
TH-101417,568,1,0
TH-102691,652,1,1
TH-101508,544,2,1
TH-103844,364,2,1
TH-101041,567,0,6
TH-104970,545,3,3
TH-100615,392,1,2
TH-100282,627,3,0
TH-100053,696,2,5
TH-104268,616,2,0
TH-100081,681,1,5
TH-102328,657,1,2
TH-102803,808,1,2
TH-103807,590,0,2
TH-102041,759,4,2
TH-103383,603,0,3
TH-102715,718,1,3
TH-104784,611,1,6
TH-102496,646,1,4
TH-100547,619,2,2
TH-103684,706,3,1
TH-101676,604,1,1
TH-103864,725,4,3
TH-104034,696,2,3
TH-102222,575,2,3
TH-100694,761,3,1
TH-101740,713,1,1
TH-102574,701,2,0
TH-102929,527,2,2
TH-103375,603,1,0
TH-104169,580,4,3
TH-100608,618,3,0
TH-103743,631,1,2
TH-100395,667,1,2
TH-101977,514,2,0
TH-103800,661,3,3
TH-101109,759,2,1
TH-103975,741,2,1
TH-101658,681,1,4
TH-103215,731,1,3
TH-102027,660,1,3
TH-100335,534,1,1
TH-104473,652,2,0
TH-101846,573,3,2
TH-101891,612,1,3
TH-102336,636,0,1
TH-100970,667,1,2
TH-101596,596,1,2
TH-101073,591,0,1
TH-103543,602,2,0
TH-100469,626,2,2
TH-101419,428,1,1
TH-100583,637,2,1
TH-101056,703,2,4
TH-100424,625,0,2
TH-100150,697,2,3
TH-101181,659,0,3
TH-102272,713,1,0
TH-104275,536,1,1
TH-101214,606,3,2
TH-102669,611,0,2
TH-102790,497,1,0
TH-101290,573,0,1
TH-104869,673,1,3
TH-101038,610,3,1
TH-104727,605,1,0
TH-103629,611,2,2
TH-103109,551,1,4
TH-104220,515,0,3
TH-100745,623,0,0
TH-100664,642,1,1
TH-104397,720,2,0
TH-104923,565,0,1
TH-104830,736,5,0
TH-104522,613,3,1
TH-101715,647,1,2
TH-102005,587,3,5
TH-103320,665,1,2
TH-101599,578,4,0
TH-103408,788,0,2
TH-100164,492,0,3
TH-104948,633,2,0
TH-101467,728,3,2
TH-100753,647,0,4
TH-103517,608,1,2
TH-100109,552,1,0
TH-100927,701,2,0
TH-104552,607,0,5
TH-103221,513,1,2
TH-103953,669,2,0
TH-100118,732,1,5
TH-104140,600,0,2
TH-104260,726,3,5
TH-103479,555,1,3
TH-102718,755,0,3
TH-103190,656,2,1
TH-102356,649,1,2
TH-101911,633,1,5
TH-102702,650,2,3
TH-102407,585,2,3
TH-103779,598,0,3
TH-104687,524,4,0
TH-100416,506,1,4
TH-102212,621,1,1
TH-104257,740,1,1
TH-101900,570,0,1
TH-101232,696,0,0
TH-100693,571,2,5
TH-101468,547,1,1
TH-101518,563,1,4
TH-102478,653,1,3
TH-104333,664,1,3
TH-101146,611,1,2
TH-101117,675,0,2
TH-100410,491,2,3
TH-103868,700,0,2
TH-103073,626,4,4
TH-103616,699,0,3
TH-102829,531,1,3
TH-100056,491,1,1
TH-104852,735,0,3
TH-102717,535,1,0
TH-103065,601,2,2
TH-102826,625,2,2
TH-103226,560,1,2
TH-100762,585,1,1
TH-103236,544,0,3
TH-102353,624,1,1
TH-103234,604,4,1
TH-104450,495,3,2
TH-101019,614,0,4
TH-100813,632,1,1
TH-103398,566,1,2
TH-104414,649,1,3
TH-102942,553,0,2
TH-100106,533,4,5
TH-100823,643,0,1
TH-100238,590,0,3
TH-102898,500,0,4
TH-100333,649,1,1
TH-101106,558,3,2
TH-104472,639,1,1
TH-103633,595,1,1
TH-104541,522,3,2
TH-102781,710,3,1
TH-104634,599,1,2
TH-104398,611,0,4
TH-101501,579,0,1
TH-103895,671,3,0
TH-101748,785,3,2
TH-101616,464,1,3
TH-101694,679,0,2
TH-100511,422,0,1
TH-104403,671,1,1
TH-102426,578,1,2
TH-101896,651,1,4
TH-103230,580,1,0
TH-104963,569,0,2
TH-102241,677,4,4
TH-104057,516,2,1
TH-101010,718,1,1
TH-101664,761,0,4
TH-102576,618,5,5
TH-103361,574,4,4
TH-101867,714,0,2
TH-100826,638,2,2
TH-104488,658,1,2
TH-102509,588,1,2
TH-102043,594,1,1
TH-102640,629,0,2
TH-100290,492,2,2
TH-101692,692,0,4
TH-104016,631,0,0
TH-102192,469,2,0
TH-103621,397,1,1
TH-105000,498,3,6
TH-104506,578,0,3
TH-104566,501,2,1
TH-100337,552,2,1
TH-101210,703,1,2
TH-104706,684,1,2
TH-101807,476,1,0
TH-103042,763,3,1
TH-103698,776,2,2
TH-102570,609,1,1
TH-101188,492,2,2
TH-101573,713,2,3
TH-101885,691,1,2
TH-104939,521,2,0
TH-101104,587,1,1
TH-102937,697,0,4
TH-103392,658,0,2
TH-101642,523,0,1
TH-104535,542,2,0
TH-101986,630,6,0
TH-103276,777,1,0
TH-103505,727,0,1
TH-101710,666,1,1
TH-102412,628,1,4
TH-102129,669,0,3
TH-102162,466,2,1
TH-101758,580,2,3
TH-104500,697,0,1
TH-104771,808,0,2
TH-101795,573,1,4
TH-104835,608,3,2
TH-101463,653,0,2
TH-101650,695,2,1
TH-100845,571,1,1
TH-103213,791,0,1
TH-103784,660,1,0
TH-103182,676,1,3
TH-101667,592,3,2
TH-102147,656,0,3
TH-104262,569,0,2
TH-103526,609,1,0
TH-103465,598,2,3
TH-100931,594,2,2
TH-104639,627,1,3
TH-103151,654,2,1
TH-100392,648,0,3
TH-100060,560,0,2
TH-104409,601,3,1
TH-102414,568,3,1
TH-102437,675,2,3
TH-102918,742,1,5
TH-101244,488,1,2
TH-101022,498,2,2
TH-104820,539,2,1
TH-100463,680,1,3
TH-104026,625,1,3
TH-101125,525,2,2
TH-100623,802,2,2
TH-102084,572,4,1
TH-102764,695,1,2
TH-104565,517,2,2
TH-101128,678,0,0
TH-102322,626,4,2
TH-101193,531,1,1
TH-101579,617,1,0
TH-103045,511,0,1
TH-104128,549,0,1
TH-101602,635,2,1
TH-100461,597,3,1
TH-104148,484,0,0
TH-103380,627,2,1
TH-100134,590,2,3
TH-101614,719,1,1
TH-103293,637,0,5
TH-102800,534,1,2
TH-102099,513,1,0
TH-102928,677,6,3
TH-101842,662,2,1
TH-101009,612,3,1
TH-102557,533,2,3
TH-101180,717,2,2
TH-103097,547,3,2
TH-103962,659,3,2
TH-101016,664,2,2
TH-102166,569,1,3
TH-102563,576,2,2
TH-104647,560,1,1
TH-101399,610,0,1
TH-104231,653,1,2
TH-101154,668,4,1
TH-104573,605,1,1
TH-102713,695,1,2
TH-103263,662,0,1
TH-103650,673,0,2
TH-100542,594,1,5
TH-102862,623,0,3
TH-100243,668,0,3
TH-100091,617,0,3
TH-100308,584,1,2
TH-104287,554,3,2
TH-103409,619,0,3
TH-100982,631,0,1
TH-103604,652,2,5
TH-104894,573,2,0
TH-102155,679,1,1
TH-103307,611,1,2
TH-100334,590,2,2
TH-103430,662,4,1
TH-102962,585,1,4
TH-102981,549,1,3
TH-104710,639,0,1
TH-104498,698,1,2
TH-104779,524,1,0
TH-102273,791,2,4
TH-101249,743,1,1
TH-100468,610,6,1
TH-100218,666,1,2
TH-103026,731,0,2
TH-100616,592,3,4
TH-104946,684,2,1
TH-102444,504,2,1
TH-104356,723,2,3
TH-101495,679,1,2
TH-103399,499,0,1
TH-104521,700,1,3
TH-103751,676,2,1
TH-101655,714,0,2
TH-101563,615,5,2
TH-104338,542,2,0
TH-103841,456,0,0
TH-101197,672,0,2
TH-104652,619,1,2
TH-100260,530,2,0
TH-102278,739,0,2
TH-103893,564,1,1
TH-104122,463,0,2
TH-104594,626,1,2
TH-103838,712,5,1
TH-100319,610,0,1
TH-102111,605,1,0
TH-101982,617,1,2
TH-103478,723,1,2
TH-101238,652,2,4
TH-101945,602,2,1
TH-102622,583,1,2
TH-103824,575,0,4
TH-101766,518,2,1
TH-104845,675,3,1
TH-101587,536,1,1
TH-103574,691,0,3
TH-103572,541,2,2
TH-100401,674,0,0
TH-104990,445,2,1
TH-103341,615,1,1
TH-103546,564,2,2
TH-104940,830,0,1
TH-102682,757,1,3
TH-101762,591,3,1
TH-102908,733,2,1
TH-101302,574,0,2
TH-100229,463,1,2
TH-103317,612,1,2
TH-103634,550,1,2
TH-101866,587,2,2
TH-103474,601,1,0
TH-102769,716,0,1
TH-100644,670,2,2
TH-101215,536,2,0
TH-102461,558,1,3
TH-103625,609,4,2
TH-101437,704,0,0
TH-101901,577,1,2
TH-101062,697,2,2
TH-101280,635,2,2
TH-104867,649,5,2
TH-103396,724,2,2
TH-102746,750,2,0
TH-101981,669,1,3
TH-103532,612,2,2
TH-101390,656,1,2
TH-103964,613,1,5
TH-100540,668,1,7
TH-102968,686,0,1
TH-103608,559,0,5
TH-100442,560,0,2
TH-100030,662,1,0
TH-101205,651,2,6
TH-102608,711,1,0
TH-100034,618,2,4
TH-103497,703,2,2
TH-101645,541,5,0
TH-104316,710,1,2
TH-104932,456,1,1
TH-102882,647,0,0
TH-104897,590,5,3
TH-100283,806,1,0
TH-101714,640,0,1
TH-103724,545,1,1
TH-103288,488,0,2
TH-102701,608,3,4
TH-104293,636,1,2
TH-100305,524,3,0
TH-102820,620,1,0
TH-103536,697,1,1
TH-104988,641,3,1
TH-104365,565,3,0
TH-101635,613,1,1
TH-100590,722,1,0
TH-100873,572,3,0
TH-102977,467,0,3
TH-102298,630,0,0
TH-100804,731,0,1
TH-104917,653,3,3
TH-103694,631,2,3
TH-101777,630,0,1
TH-100241,694,3,1
TH-104434,792,2,0
TH-104180,572,0,2
TH-101258,728,0,1
TH-102385,586,0,0
TH-102107,554,1,1
TH-100734,755,3,2
TH-103972,538,1,2
TH-104232,613,2,2
TH-101869,570,1,2
TH-101619,539,0,2
TH-101014,712,1,3
TH-101898,478,1,4
TH-103721,518,0,2
TH-103168,489,2,1
TH-101728,575,1,2
TH-101772,674,2,2
TH-100928,611,2,0
TH-104004,525,1,4
TH-100130,513,2,1
TH-103997,703,0,0
TH-103534,613,2,2
TH-103749,453,3,4
TH-101308,692,1,0
TH-104465,760,1,2
TH-104916,472,1,1
TH-104730,611,1,4
TH-100194,706,1,2
TH-101209,652,2,5
TH-100630,598,2,3
TH-100189,495,0,1
TH-104829,673,0,1
TH-102472,779,0,1
TH-100525,584,1,1
TH-102460,531,1,4
TH-100040,435,1,1
TH-103777,564,3,2
TH-101516,639,0,0
TH-104210,577,3,4
TH-100115,650,1,3
TH-100515,605,2,1
TH-104740,564,1,3
TH-100176,558,1,1
TH-103752,649,0,1
TH-100531,667,3,5
TH-101441,654,3,1
TH-100077,608,3,2
TH-102373,726,3,1
TH-101845,778,0,2
TH-103950,610,0,3
TH-104850,591,1,2
TH-100434,631,4,2
TH-101888,630,1,2
TH-104694,722,3,1
TH-104827,545,0,1
TH-104890,520,0,2
TH-100320,608,1,1
TH-103995,644,0,6
TH-102140,694,1,5
TH-103805,600,1,2
TH-104815,522,0,0
TH-101897,584,1,3
TH-103058,562,0,3
TH-102887,649,2,3
TH-103200,664,1,1
TH-104704,598,4,1
TH-103440,707,2,1
TH-101274,556,0,1
TH-103766,547,4,2
TH-101030,714,3,2
TH-102422,484,2,6
TH-100601,444,1,3
TH-103072,601,0,2
TH-104780,547,1,1
TH-100300,573,0,8
TH-103041,640,3,3
TH-103851,608,1,5
TH-104395,749,1,1
TH-101032,565,1,1
TH-102202,559,1,4
TH-100044,525,2,2
TH-102789,621,4,1
TH-102016,630,2,3
TH-104422,807,2,1
TH-101247,528,0,1
TH-103949,657,2,3
TH-103922,660,0,1
TH-103795,554,3,2
TH-100794,788,2,5
TH-100129,542,2,2
TH-104945,495,2,1
TH-102110,687,0,0
TH-100099,589,2,0
TH-104174,612,0,2
TH-100932,707,2,3
TH-101503,492,1,2
TH-103951,631,4,1
TH-102813,547,2,0
TH-101150,589,2,2
TH-100089,681,3,1
TH-102044,690,0,2
TH-104176,682,3,2
TH-100374,581,2,0
TH-102211,585,0,0
TH-100144,587,1,1
TH-100382,714,1,0
TH-100248,562,0,2
TH-104017,566,4,2
TH-102585,523,1,3
TH-100678,484,3,0
TH-101991,643,0,6
TH-103271,598,0,6
TH-103163,730,2,3
TH-102900,650,3,1
TH-100254,425,1,1
TH-102716,583,0,0
TH-100791,560,2,1
TH-103849,620,2,1
TH-104733,641,0,1
TH-101081,534,0,0
TH-102561,565,1,2
TH-101675,652,0,0
TH-101402,605,1,1
TH-100439,723,2,3
TH-100328,495,1,1
TH-102954,674,3,2
TH-104622,567,0,2
TH-101598,525,0,2
TH-101025,534,2,3
TH-104154,678,3,2
TH-102130,611,4,2
TH-101142,682,4,3
TH-102956,699,4,3
TH-103169,633,1,0
TH-101709,554,1,2
TH-101679,580,2,1
TH-102849,589,0,3
TH-102588,595,0,3
TH-102221,551,3,2
TH-103443,620,1,1
TH-101737,651,0,2
TH-101723,635,1,2
TH-102289,626,3,2
TH-101712,686,1,2
TH-101347,579,0,0
TH-104399,619,1,3
TH-104615,614,3,2
TH-103410,511,1,1
TH-101388,592,1,0
TH-101218,578,1,1
TH-102473,604,4,2
TH-104607,606,3,1
TH-102296,732,0,1
TH-102733,650,2,2
TH-101026,704,0,3
TH-102022,678,2,4
TH-100557,638,2,2
TH-102880,552,1,3
TH-102121,670,2,2
TH-103491,655,2,3
TH-101509,637,1,1
TH-101196,688,2,2
TH-102785,608,2,3
TH-103464,520,1,0
TH-101288,506,4,0
TH-104246,654,0,0
TH-102116,587,1,1
TH-104892,591,1,1
TH-103060,557,1,2
TH-100835,467,1,1
TH-100995,510,2,1
TH-100156,602,0,2
TH-101158,629,1,2
TH-102342,572,1,3
TH-101884,614,4,1
TH-101547,661,1,0
TH-103605,712,2,4
TH-104887,631,0,1
TH-104548,564,3,1
TH-103142,624,1,1
TH-100859,662,2,1
TH-103906,599,1,0
TH-101605,616,3,1
TH-104110,707,1,2
TH-104789,634,2,3
TH-103829,731,1,2
TH-100022,541,3,3
TH-104227,650,1,0
TH-104668,592,0,0
TH-101595,587,2,1
TH-103817,582,0,2
TH-102235,722,1,4
TH-102484,482,0,1
TH-102051,699,1,1
TH-101184,725,3,3
TH-101734,622,0,3
TH-101562,569,2,4
TH-100741,681,0,1
TH-103125,591,1,4
TH-102193,487,1,0
TH-104173,706,0,0
TH-100133,622,1,3
TH-101136,566,1,4
TH-101091,629,0,0
TH-101628,702,2,2
TH-102396,597,1,0
TH-103329,504,1,3
TH-101343,589,1,1
TH-102331,692,0,0
TH-102060,737,2,1
TH-103084,432,1,2
TH-100286,596,1,3
TH-100796,677,0,1
TH-103229,602,2,1
TH-102343,620,2,1
TH-102354,535,3,3
TH-100708,553,1,2
TH-102624,613,0,1
TH-100488,578,2,0
TH-101511,570,1,2
TH-103102,600,1,5
TH-104682,730,0,0
TH-103659,633,2,3
TH-100462,620,1,2
TH-104919,609,2,1
TH-101656,807,1,0
TH-101713,628,1,1
TH-100422,695,3,0
TH-100141,679,0,1
TH-100076,731,2,3
TH-104555,505,0,3
TH-102940,493,1,1
TH-101985,579,1,1
TH-101384,550,1,3
TH-104234,654,2,4
TH-103206,688,3,1
TH-104865,761,1,3
TH-101310,633,0,1
TH-101372,591,0,2
TH-100518,525,3,1
TH-103711,701,0,2
TH-100357,757,2,2
TH-100755,627,1,2
TH-100967,687,0,0
TH-100881,695,5,1
TH-100573,619,2,2
TH-104669,639,1,1
TH-102430,827,3,0
TH-103051,728,1,5
TH-103174,451,1,3
TH-104162,572,0,1
TH-104808,674,0,0
TH-102090,539,4,4
TH-103475,505,2,3
TH-100890,805,3,1
TH-102253,649,1,4
TH-102131,668,0,0
TH-104373,600,3,1
TH-101124,531,0,2
TH-104818,726,0,1
TH-101445,668,1,1
TH-102469,697,1,2
TH-102893,525,0,0
TH-100532,651,0,3
TH-101776,616,1,3
TH-100951,666,1,2
TH-102966,670,0,3
TH-104121,639,3,4
TH-100712,718,1,0
TH-103095,590,1,4
TH-102983,599,1,1
TH-104480,527,3,0
TH-103591,675,1,1
TH-102447,650,2,0
TH-100869,628,3,3
TH-104250,591,3,1
TH-101799,508,1,3
TH-101633,636,0,1
TH-104425,649,2,1
TH-104158,566,0,0
TH-101305,611,0,3
TH-103508,673,1,2
TH-101461,564,2,2
TH-100767,789,4,1
TH-103626,719,3,1
TH-104441,537,2,3
TH-103002,574,4,2
TH-103799,583,1,2
TH-102427,755,1,0
TH-103433,515,0,0
TH-104968,587,2,1
TH-103087,631,1,2
TH-104976,514,1,1
TH-102008,744,1,3
TH-102137,549,1,4
TH-104221,850,1,0
TH-101478,593,0,0
TH-102782,707,1,1
TH-103448,660,1,0
TH-100245,847,1,4
TH-102154,521,2,2
TH-101649,689,1,4
TH-100375,659,0,1
TH-102736,494,1,3
TH-102611,740,1,0
TH-104551,575,1,4
TH-101507,787,2,3
TH-103403,628,2,1
TH-103342,612,0,0
TH-101277,709,5,4
TH-102808,602,2,3
TH-103527,610,1,2
TH-101990,588,2,4
TH-102176,615,1,1
TH-104312,656,1,1
TH-101718,646,2,2
TH-100221,671,1,4
TH-104431,534,1,1
TH-101576,601,0,2
TH-101812,612,3,4
TH-101924,667,2,3
TH-100299,695,2,0
TH-102136,516,0,3
TH-103737,591,2,2
TH-101865,485,2,0
TH-101589,698,4,1
TH-103871,629,0,1
TH-101357,668,2,2
TH-104832,586,3,0
TH-103682,608,0,0
TH-102735,506,0,1
TH-104054,731,1,1
TH-103455,622,0,1
TH-103453,577,2,2
TH-100700,626,1,1
TH-102247,597,2,2
