account_id,origination_date,product,region,customer_age,age_band,monthly_income,loan_amount,outstanding_balance_thb,days_past_due,bad_flag
TH-100096,30/07/2024,motorcycle,Bangkok,34,25 to 34,25300,59000,"37,100",0,0
TH-100097,09/04/2024,motorcycle,Northeast,25,25 to 34,17800,31000,"19,300",0,0
TH-100098,10/09/2023,personal,South,36,35 to 44,15100,64000,"38,200",0,0
TH-100099,10/06/2023,motorcycle,North,31,25 to 34,16400,19000,"8,900",0,0
TH-100100,16/11/2023,motorcycle,Northeast,42,35 to 44,18800,29000,"13,300",18,0
TH-100101,26/11/2023,home_improvement,Bangkok,27,25 to 34,,19000,"13,000",0,0
TH-100102,20/01/2023,auto,Central,39,35 to 44,30100,124000,"101,600",123,1
TH-100103,18/08/2024,home_improvement,Bangkok,25,25 to 34,19000,44000,"23,100",0,0
TH-100104,08/07/2024,motorcycle,Central,25,25 to 34,13400,41000,,0,0
TH-100105,13/02/2025,motorcycle,Bangkok,38,35 to 44,9000,24000,"10,000",0,0
TH-100106,14/04/2023,motorcycle,Northeast,45,45 to 54,10800,26000,"18,200",0,0
TH-100107,11/05/2025,home_improvement,South,43,35 to 44,24300,69000,"46,800",0,0
TH-100108,25/12/2023,personal,Bangkok,31,25 to 34,16200,16000,"6,400",0,0
TH-100109,02/04/2023,motorcycle,Northeast,35,35 to 44,45400,36000,"18,800",0,0
TH-100110,05/02/2023,auto,South,54,45 to 54,26900,104000,"33,600",0,0
TH-100111,02/03/2023,home_improvement,Northeast,35,35 to 44,14200,45000,"36,500",0,0
TH-100112,13/07/2024,auto,Northeast,24,Under 25,27400,157000,"81,300",0,0
TH-100113,26/01/2024,auto,Bangkok,29,25 to 34,18300,69000,"49,600",0,0
TH-100114,16/06/2025,motorcycle,Northeast,50,45 to 54,28900,62000,"32,200",0,0
TH-100115,01/06/2023,auto,Northeast,28,25 to 34,,40000,"24,700",15,0
TH-100116,13/01/2025,personal,Central,30,25 to 34,33200,73000,"59,600",0,0
TH-100117,19/06/2024,personal,Bangkok,47,45 to 54,13500,22000,"18,800",0,0
TH-100118,03/04/2023,auto,North,41,35 to 44,27900,83000,"25,100",7,0
TH-100119,01/12/2024,personal,Bangkok,34,25 to 34,36600,109000,"51,000",0,0
TH-100120,04/02/2023,auto,Bangkok,29,25 to 34,42000,44000,,0,0
TH-100121,20/03/2024,motorcycle,Bangkok,53,45 to 54,29700,108000,"43,300",0,0
TH-100122,06/08/2023,personal,Bangkok,33,25 to 34,15800,39000,"29,100",0,0
TH-100123,08/01/2024,home_improvement,South,35,35 to 44,,51000,"30,700",0,0
TH-100124,19/02/2025,personal,South,34,25 to 34,15900,21000,"15,100",0,0
TH-100125,03/02/2023,home_improvement,South,33,25 to 34,13000,17000,"10,500",0,0
TH-100126,14/04/2024,auto,Northeast,39,35 to 44,10400,63000,"32,000",0,0
TH-100127,09/07/2024,personal,Bangkok,26,25 to 34,42000,152000,"61,200",26,0
TH-100128,08/01/2025,motorcycle,Bangkok,29,25 to 34,13700,93000,"63,600",0,0
TH-100129,09/06/2023,title_loan,Northeast,21,Under 25,21100,75000,"65,100",0,0
TH-100130,27/05/2023,home_improvement,Central,51,45 to 54,24400,55000,"17,900",0,0
TH-100131,18/03/2025,motorcycle,Central,23,Under 25,16100,39000,"19,200",0,0
TH-100132,22/01/2024,auto,Bangkok,23,Under 25,,16000,"12,900",15,0
TH-100133,30/06/2023,title_loan,Bangkok,30,25 to 34,26300,71000,"34,400",0,0
TH-100134,29/04/2023,personal,Central,35,35 to 44,15100,42000,"25,000",0,0
TH-100135,01/04/2024,personal,Bangkok,52,45 to 54,9000,15000,"3,300",0,0
TH-100136,17/04/2024,auto,Bangkok,25,25 to 34,28800,77000,"16,800",0,0
TH-100137,25/03/2025,motorcycle,Bangkok,22,Under 25,10300,22000,"14,200",0,0
TH-100138,28/02/2024,personal,Northeast,23,Under 25,20700,110000,"36,500",0,0
TH-100139,17/04/2024,personal,Bangkok,23,Under 25,30900,96000,"74,300",0,0
TH-100140,28/03/2025,auto,Bangkok,39,35 to 44,29000,110000,"54,100",0,0
TH-100141,04/07/2023,home_improvement,North,44,35 to 44,19500,41000,"21,400",0,0
TH-100142,07/10/2023,personal,Bangkok,44,35 to 44,17600,131000,"70,000",0,0
TH-100143,09/01/2023,motorcycle,South,41,35 to 44,,42000,"33,600",0,0
TH-100144,11/06/2023,personal,Bangkok,33,25 to 34,,87000,"37,100",0,0
TH-100145,24/03/2024,motorcycle,South,47,45 to 54,23600,45000,"32,400",0,0
TH-100146,25/03/2025,motorcycle,Bangkok,54,45 to 54,12800,44000,"12,900",0,0
TH-100147,19/10/2024,title_loan,North,42,35 to 44,28900,358000,"124,800",0,0
TH-100148,23/05/2025,motorcycle,Northeast,26,25 to 34,11900,28000,"17,800",0,0
TH-100149,20/08/2024,auto,North,40,35 to 44,9000,19000,"14,100",7,0
TH-100150,29/03/2023,motorcycle,South,21,Under 25,14900,17000,"3,900",0,0
TH-100151,13/04/2025,motorcycle,Bangkok,41,35 to 44,33900,69000,"49,700",0,0
TH-100152,12/10/2024,motorcycle,South,25,25 to 34,23300,24000,"10,900",0,0
TH-100153,02/09/2024,home_improvement,Northeast,46,45 to 54,23100,140000,"46,900",0,0
TH-100154,20/08/2023,auto,Central,59,55 and over,9000,28000,"12,600",26,0
TH-100155,03/10/2024,title_loan,Bangkok,25,25 to 34,14200,46000,"23,500",0,0
TH-100156,25/06/2023,personal,South,40,35 to 44,27000,105000,"40,500",0,0
TH-100157,13/10/2024,title_loan,Central,33,25 to 34,37300,91000,"40,600",0,0
TH-100158,03/12/2023,auto,Northeast,34,25 to 34,52300,249000,"79,200",0,0
TH-100159,05/11/2023,title_loan,Northeast,48,45 to 54,,61000,"21,100",0,0
TH-100160,26/05/2025,personal,Central,39,35 to 44,28000,182000,"78,000",0,0
TH-100161,20/01/2025,auto,North,38,35 to 44,25700,78000,"41,500",30,0
TH-100162,06/03/2023,motorcycle,Northeast,27,25 to 34,54800,98000,"67,100",0,0
TH-100163,20/05/2024,motorcycle,Bangkok,27,25 to 34,13400,21000,"19,800",0,0
TH-100164,02/04/2023,personal,Central,31,25 to 34,33700,88000,"45,800",0,0
TH-100165,18/08/2024,motorcycle,Central,34,25 to 34,13500,103000,"53,200",117,1
TH-100166,22/09/2024,motorcycle,Bangkok,23,Under 25,15900,42000,"34,100",0,0
TH-100167,09/03/2025,home_improvement,South,49,45 to 54,21700,40000,"26,500",0,0
TH-100168,13/01/2024,auto,South,50,45 to 54,,151000,"105,300",0,0
TH-100169,17/12/2023,motorcycle,Northeast,44,35 to 44,16800,41000,"26,300",63,1
TH-100170,03/11/2024,personal,Northeast,45,45 to 54,55700,72000,"59,000",0,0
TH-100171,30/04/2024,motorcycle,North,34,25 to 34,15000,31000,"5,200",0,0
TH-100172,05/11/2023,home_improvement,Bangkok,39,35 to 44,13500,29000,"23,900",0,0
TH-100173,29/09/2023,auto,Bangkok,28,25 to 34,24800,81000,"48,800",0,0
TH-100174,28/02/2024,auto,Central,33,25 to 34,18600,73000,"61,200",0,0
TH-100175,22/03/2024,personal,North,30,25 to 34,25600,25000,"13,800",0,0
TH-100176,02/06/2023,motorcycle,South,46,45 to 54,9000,18000,"15,300",0,0
TH-100177,09/12/2024,personal,Northeast,28,25 to 34,,83000,"48,700",77,1
TH-100178,14/08/2023,personal,North,35,35 to 44,20100,58000,"10,700",0,0
TH-100179,10/12/2024,title_loan,Northeast,44,35 to 44,28400,60000,"58,200",0,0
TH-100180,22/01/2023,personal,Central,23,Under 25,,184000,"109,200",0,0
TH-100181,07/03/2025,title_loan,Bangkok,44,35 to 44,32900,124000,"40,700",157,1
TH-100182,18/01/2025,motorcycle,North,24,Under 25,12900,21000,"9,900",0,0
TH-100183,26/02/2025,personal,South,41,35 to 44,31600,70000,"34,600",0,0
TH-100184,24/12/2023,title_loan,North,39,35 to 44,26900,67000,"31,200",24,0
TH-100185,02/07/2024,home_improvement,Central,36,35 to 44,39300,110000,"49,900",0,0
TH-100186,07/08/2023,motorcycle,North,32,25 to 34,30100,59000,"42,200",0,0
TH-100187,03/08/2024,auto,Central,30,25 to 34,9000,15000,"10,300",0,0
TH-100188,17/02/2024,motorcycle,Bangkok,31,25 to 34,31800,134000,"66,600",0,0
TH-100189,30/05/2023,title_loan,Bangkok,28,25 to 34,22600,94000,"45,200",0,0
TH-100190,01/08/2023,motorcycle,Central,35,35 to 44,112500,361000,"276,700",0,0
TH-100191,02/08/2023,home_improvement,Bangkok,38,35 to 44,20100,47000,"12,200",27,0
TH-100192,09/10/2023,motorcycle,Bangkok,43,35 to 44,28200,101000,"62,600",0,0
TH-100193,10/09/2023,auto,Northeast,27,25 to 34,35000,60000,"48,200",0,0
TH-100194,29/05/2023,motorcycle,North,46,45 to 54,10800,25000,"18,600",0,0
TH-100195,01/12/2024,auto,Northeast,40,35 to 44,23000,138000,"90,800",0,0
TH-100196,20/02/2025,auto,Bangkok,42,35 to 44,,42000,"23,600",0,0
TH-100197,26/11/2023,auto,North,23,Under 25,13600,46000,"10,400",0,0
TH-100198,05/03/2025,personal,North,44,35 to 44,13800,32000,"20,700",0,0
TH-100199,12/01/2025,personal,Bangkok,41,35 to 44,9000,26000,"11,500",0,0
TH-100200,07/01/2023,home_improvement,Northeast,39,35 to 44,25200,133000,"80,800",0,0
TH-100201,30/11/2024,personal,North,31,25 to 34,20500,91000,"60,400",18,0
TH-100202,28/08/2023,home_improvement,Bangkok,41,35 to 44,24100,50000,"22,800",19,0
TH-100203,06/04/2025,auto,Bangkok,38,35 to 44,42000,117000,"53,700",0,0
TH-100204,30/03/2024,title_loan,North,48,45 to 54,55900,75000,"54,800",0,0
TH-100205,19/04/2024,personal,South,42,35 to 44,20000,29000,"11,100",0,0
TH-100206,25/09/2023,personal,Bangkok,31,25 to 34,24700,40000,"16,800",0,0
TH-100207,05/08/2023,home_improvement,Central,38,35 to 44,13400,21000,"5,300",0,0
TH-100208,26/08/2023,personal,Bangkok,27,25 to 34,90800,149000,"131,800",0,0
TH-100209,22/12/2023,personal,Central,27,25 to 34,22300,26000,"12,300",0,0
TH-100210,04/01/2023,motorcycle,South,39,35 to 44,25000,44000,"32,400",13,0
TH-100211,08/09/2024,home_improvement,Northeast,31,25 to 34,25100,69000,"29,300",0,0
TH-100212,03/06/2025,auto,Bangkok,24,Under 25,33200,301000,"177,600",0,0
TH-100213,11/05/2024,auto,South,28,25 to 34,37000,58000,"37,300",0,0
TH-100214,29/12/2023,auto,Bangkok,23,Under 25,10700,17000,"15,700",0,0
TH-100215,20/03/2025,auto,Central,23,Under 25,21400,45000,,0,0
TH-100216,16/09/2023,auto,Bangkok,34,25 to 34,18300,41000,"11,000",0,0
TH-100217,05/03/2023,personal,Central,49,45 to 54,9900,30000,"4,300",0,0
TH-100218,06/05/2023,auto,Bangkok,51,45 to 54,18800,76000,"42,000",0,0
TH-100219,16/02/2024,motorcycle,Central,31,25 to 34,24100,151000,,0,0
TH-100220,01/11/2024,home_improvement,Bangkok,37,35 to 44,31300,127000,"70,800",0,0
TH-100221,18/07/2023,motorcycle,Bangkok,48,45 to 54,31600,103000,"60,100",0,0
TH-100222,24/12/2024,motorcycle,Bangkok,41,35 to 44,26100,81000,"46,200",11,0
TH-100223,27/01/2024,motorcycle,Bangkok,54,45 to 54,59300,169000,"94,800",0,0
TH-100224,18/10/2024,title_loan,Bangkok,34,25 to 34,22000,33000,"17,200",0,0
TH-100225,14/06/2024,personal,Central,24,Under 25,,45000,"16,000",25,0
TH-100226,22/01/2024,home_improvement,Central,30,25 to 34,13000,34000,"26,500",0,0
TH-100227,10/02/2025,auto,Northeast,46,45 to 54,36700,131000,"87,500",0,0
TH-100228,11/10/2023,personal,Bangkok,43,35 to 44,9000,29000,"17,300",0,0
TH-100229,13/05/2023,personal,Central,51,45 to 54,12800,36000,"22,900",0,0
TH-100230,20/08/2023,personal,Bangkok,27,25 to 34,27000,22000,"9,800",0,0
TH-100231,07/01/2024,title_loan,Northeast,25,25 to 34,10500,32000,"23,800",0,0
TH-100232,09/06/2025,motorcycle,Bangkok,38,35 to 44,9000,24000,"8,300",0,0
TH-100233,31/01/2023,motorcycle,Bangkok,30,25 to 34,9000,29000,"19,500",0,0
TH-100234,26/02/2025,auto,Bangkok,29,25 to 34,37800,142000,"110,000",0,0
TH-100235,12/05/2025,home_improvement,South,24,Under 25,49200,234000,"216,500",0,0
TH-100236,14/03/2025,motorcycle,Bangkok,23,Under 25,14000,37000,"26,300",0,0
TH-100237,25/01/2024,auto,North,30,25 to 34,37200,101000,"27,100",0,0
TH-100238,14/04/2023,motorcycle,Bangkok,29,25 to 34,14000,40000,"13,700",0,0
TH-100239,16/04/2024,title_loan,Bangkok,28,25 to 34,20900,41000,"31,700",0,0
TH-100240,04/04/2025,motorcycle,South,33,25 to 34,14200,50000,"13,300",16,0
TH-100241,23/05/2023,motorcycle,Bangkok,30,25 to 34,16300,35000,"25,400",0,0
TH-100242,13/05/2025,auto,Bangkok,29,25 to 34,14700,131000,"102,500",0,0
TH-100243,03/05/2023,auto,North,39,35 to 44,31600,80000,"50,800",9,0
TH-100244,02/09/2023,motorcycle,North,23,Under 25,13000,75000,"46,000",0,0
TH-100245,15/07/2023,motorcycle,Bangkok,26,25 to 34,21200,70000,"42,700",0,0
TH-100246,08/06/2024,personal,South,29,25 to 34,25000,15000,"10,800",0,0
TH-100247,27/02/2024,motorcycle,Bangkok,43,35 to 44,36100,62000,"26,000",21,0
TH-100248,12/06/2023,motorcycle,Bangkok,49,45 to 54,20200,86000,"72,300",20,0
TH-100249,18/04/2024,title_loan,Central,21,Under 25,37200,159000,"95,900",44,1
TH-100250,23/07/2023,title_loan,North,34,25 to 34,14500,31000,"22,300",0,0
TH-100251,28/04/2025,motorcycle,Central,32,25 to 34,,25000,"7,500",0,0
TH-100252,13/02/2025,home_improvement,Bangkok,31,25 to 34,15600,38000,"24,700",9,0
TH-100253,01/03/2025,motorcycle,South,50,45 to 54,28300,83000,"31,100",0,0
TH-100254,13/06/2023,motorcycle,Bangkok,25,25 to 34,16800,34000,"16,200",20,0
TH-100255,31/03/2024,personal,Northeast,24,Under 25,24600,103000,"78,200",24,0
TH-100256,15/08/2023,home_improvement,North,40,35 to 44,16600,138000,"56,800",0,0
TH-100257,24/11/2023,motorcycle,Bangkok,21,Under 25,10800,22000,"14,400",17,0
TH-100258,27/01/2024,personal,Central,36,35 to 44,31400,113000,"38,500",34,1
TH-100259,04/08/2024,motorcycle,South,22,Under 25,,54000,"45,600",0,0
TH-100260,08/05/2023,personal,Bangkok,43,35 to 44,15200,45000,"41,400",0,0
TH-100261,12/05/2025,auto,South,48,45 to 54,25200,46000,"33,300",30,0
TH-100262,13/12/2023,personal,South,39,35 to 44,15500,18000,"4,800",0,0
TH-100263,13/05/2024,auto,Bangkok,25,25 to 34,10000,24000,"9,300",121,1
TH-100264,19/02/2025,title_loan,Northeast,49,45 to 54,15500,17000,"12,300",0,0
TH-100265,25/09/2023,motorcycle,North,37,35 to 44,14500,30000,"17,700",0,0
TH-100266,28/11/2024,home_improvement,Bangkok,28,25 to 34,17000,64000,"17,100",23,0
TH-100267,30/08/2024,motorcycle,Bangkok,39,35 to 44,,53000,"24,800",0,0
TH-100268,24/09/2023,motorcycle,Bangkok,41,35 to 44,12200,21000,"18,700",0,0
TH-100269,24/10/2023,motorcycle,North,31,25 to 34,17700,35000,"8,700",0,0
TH-100270,24/11/2024,personal,North,21,Under 25,,71000,"54,800",0,0
TH-100271,22/03/2024,title_loan,Northeast,48,45 to 54,39800,152000,"97,600",0,0
TH-100272,31/03/2025,auto,Northeast,25,25 to 34,19800,91000,"32,300",0,0
TH-100273,02/03/2025,motorcycle,Central,51,45 to 54,,64000,"31,500",0,0
TH-100274,11/01/2023,motorcycle,Central,36,35 to 44,13200,62000,"41,900",0,0
TH-100275,04/11/2023,auto,Bangkok,41,35 to 44,44200,91000,"41,400",0,0
TH-100276,16/08/2023,auto,Northeast,34,25 to 34,32500,110000,"85,500",22,0
TH-100277,02/09/2023,personal,Bangkok,28,25 to 34,35700,132000,"66,700",0,0
TH-100278,12/01/2023,motorcycle,Bangkok,43,35 to 44,28500,57000,"10,200",0,0
TH-100279,04/12/2023,motorcycle,Central,27,25 to 34,22600,131000,"105,800",0,0
TH-100280,29/06/2024,motorcycle,Northeast,24,Under 25,15500,43000,"17,300",140,1
TH-100281,14/11/2023,motorcycle,Bangkok,40,35 to 44,24100,52000,"28,700",0,0
TH-100282,19/03/2023,auto,Bangkok,32,25 to 34,18800,42000,"27,000",0,0
TH-100283,19/05/2023,auto,Bangkok,31,25 to 34,,16000,"7,700",17,0
TH-100284,07/08/2024,personal,North,25,25 to 34,31000,155000,"103,300",0,0
TH-100285,20/05/2025,home_improvement,North,46,45 to 54,10100,38000,"23,700",0,0
TH-100286,01/07/2023,personal,Northeast,42,35 to 44,44400,91000,"50,800",0,0
TH-100287,31/07/2023,motorcycle,Bangkok,46,45 to 54,13400,33000,"20,200",0,0
TH-100288,23/02/2025,title_loan,Central,50,45 to 54,23000,50000,"45,200",0,0
TH-100289,12/11/2023,home_improvement,South,28,25 to 34,14500,35000,"18,300",0,0
TH-100290,18/04/2023,auto,Central,29,25 to 34,23800,147000,"104,700",117,1
TH-100291,25/06/2024,personal,North,43,35 to 44,19700,86000,"70,300",0,0
TH-100292,26/07/2024,personal,South,39,35 to 44,,194000,"100,400",0,0
TH-100293,29/12/2023,personal,Northeast,37,35 to 44,22300,66000,"31,400",0,0
TH-100294,08/01/2024,auto,Central,39,35 to 44,15900,41000,"34,300",0,0
TH-100295,03/12/2023,motorcycle,Northeast,21,Under 25,10200,28000,"4,600",0,0
TH-100296,11/08/2023,home_improvement,Bangkok,54,45 to 54,16400,17000,"9,000",0,0
TH-100297,02/05/2024,personal,Bangkok,24,Under 25,13800,44000,"37,100",0,0
TH-100298,16/08/2024,motorcycle,Central,51,45 to 54,15400,31000,"16,000",0,0
TH-100299,19/07/2023,title_loan,Bangkok,33,25 to 34,15500,57000,"21,300",0,0
TH-100300,07/06/2023,title_loan,Bangkok,52,45 to 54,9700,19000,"12,300",0,0
TH-100301,18/03/2025,motorcycle,Bangkok,41,35 to 44,21700,106000,"37,100",0,0
TH-100302,14/07/2024,personal,Central,26,25 to 34,,28000,"7,900",0,0
TH-100303,08/03/2023,motorcycle,Bangkok,28,25 to 34,21300,51000,"37,100",0,0
TH-100304,21/10/2024,motorcycle,Northeast,51,45 to 54,13800,33000,"25,700",145,1
TH-100305,20/05/2023,auto,Bangkok,29,25 to 34,12000,50000,"39,200",0,0
TH-100306,10/02/2023,motorcycle,North,39,35 to 44,35800,198000,"122,800",0,0
TH-100307,09/02/2024,motorcycle,Northeast,29,25 to 34,21600,55000,"14,300",0,0
TH-100308,03/05/2023,personal,Bangkok,31,25 to 34,,236000,"214,000",29,0
TH-100309,30/05/2025,motorcycle,South,25,25 to 34,23800,77000,"44,300",0,0
TH-100310,16/12/2024,auto,South,26,25 to 34,15000,44000,"25,100",20,0
TH-100311,09/03/2025,motorcycle,Bangkok,31,25 to 34,21600,89000,"76,400",0,0
TH-100312,16/04/2024,motorcycle,Central,29,25 to 34,,61000,"35,500",0,0
TH-100313,19/04/2024,auto,South,27,25 to 34,14600,27000,"20,400",0,0
