account_id,bureau_pull_date,bureau_score,active_facilities,total_outstanding,worst_status_12m,enquiries_6m
A100172,2025-09-09,839,3,182034,0,0
A100174,2025-11-01,740,3,745901,0,0
A100175,2023-12-16,850,1,464176,1,0
A100176,2025-11-08,787,1,717885,0,0
A100177,2024-05-08,846,0,58669,0,0
A100178,2024-12-31,643,2,297377,0,0
A100179,2023-03-30,850,1,298232,0,0
A100180,2024-11-04,850,2,21266,0,0
A100181,2023-11-14,845,3,480190,1,0
A100182,2023-10-11,655,3,250368,0,0
A100183,2024-11-16,803,2,326231,0,0
A100184,2022-05-22,850,3,209775,0,0
A100185,2024-04-06,723,4,53504,0,0
A100186,2025-04-29,668,0,655647,0,0
A100187,2025-05-26,799,4,179552,0,0
A100188,2023-02-09,850,1,280130,0,0
A100189,2025-08-05,755,3,400904,3,0
A100190,2024-03-02,812,5,552744,0,0
A100191,2023-01-19,772,4,791088,0,0
A100192,2025-10-23,840,1,113748,1,0
A100193,2022-10-30,578,2,466199,1,0
A100194,2022-06-25,826,3,47339,0,0
A100195,2025-07-04,780,4,90401,2,0
A100196,2023-04-01,802,2,68973,0,0
A100197,2023-02-14,832,3,391425,0,0
A100198,2022-03-17,714,1,211886,0,0
A100199,2022-10-28,757,2,538468,1,0
A100200,2022-04-18,850,2,49761,2,0
A100202,2023-10-04,796,3,68552,0,0
A100203,2022-12-03,800,1,145828,0,0
A100204,2023-11-19,808,2,92328,0,0
A100205,2024-05-17,541,1,39849,0,0
A100206,2024-11-18,850,2,511890,0,0
A100207,2022-02-05,590,4,295069,0,0
A100208,2024-09-16,756,0,109273,0,0
A100209,2023-10-05,850,3,145653,1,0
A100210,2023-04-22,850,2,118921,1,0
A100211,2022-03-31,850,1,194377,0,0
A100212,2024-08-25,807,5,237432,0,0
A100213,2024-11-03,679,2,96866,0,0
A100214,2022-03-22,786,0,141633,0,0
A100215,2024-11-17,703,3,66616,0,0
A100216,2022-09-03,770,3,58231,0,0
A100217,2025-08-16,849,2,117713,2,0
A100218,2022-07-12,796,3,276848,0,0
A100219,2025-06-15,764,1,115074,0,0
A100219,2025-05-17,768,1,111838,0,0
A100220,2022-08-22,817,4,100738,0,0
A100221,2025-04-24,795,2,470679,0,0
A100222,2024-12-16,716,4,715662,0,0
A100223,2022-01-23,850,0,47544,0,0
A100225,2024-06-27,850,0,419468,3,0
A100226,2025-12-04,733,4,144616,1,0
A100228,2022-09-03,745,2,176659,0,0
A100229,2023-09-25,521,0,341114,0,0
A100230,2022-11-08,772,2,274242,0,0
A100231,2024-08-12,767,2,292126,2,0
A100232,2024-11-08,617,2,322052,0,0
A100233,2025-02-28,839,7,62908,1,0
A100234,2024-12-27,606,1,641741,0,0
A100235,2022-07-24,822,0,226655,0,0
A100236,2024-11-12,850,0,40837,0,0
A100237,2025-07-12,850,0,476312,0,0
A100238,2024-08-29,850,4,1018663,0,0
A100239,2024-05-05,758,1,1208988,0,0
A100240,2024-11-18,714,0,353495,0,0
A100241,2025-07-13,850,0,239526,0,0
A100242,2022-07-04,710,4,263070,1,0
A100244,2022-04-22,850,3,2717023,0,0
A100245,2025-08-01,846,5,271883,3,0
A100246,2022-05-20,819,3,61341,0,0
A100247,2024-09-12,733,1,381787,0,0
A100248,2025-10-08,676,1,813187,0,0
A100249,2022-08-03,810,0,417988,0,0
A100250,2025-05-07,798,0,42304,0,0
A100252,2022-02-01,622,2,643674,0,2
A100253,2024-03-03,850,1,1254698,1,0
A100254,2022-08-23,850,0,360321,1,0
A100255,2024-05-30,685,0,32339,0,0
A100256,2024-05-26,812,1,160326,3,0
A100257,2022-07-28,850,0,82813,0,0
A100258,2023-01-11,828,2,21829,0,0
A100259,2022-11-30,803,1,64338,0,0
A100260,2022-10-05,651,3,642621,0,0
A100261,2023-12-13,580,1,333017,3,0
A100262,2022-09-29,731,2,30668,0,0
A100262,2022-08-30,850,1,35214,1,0
A100263,2024-05-05,792,6,43192,0,0
A100264,2025-04-25,792,1,189344,0,0
A100265,2025-02-24,850,0,113960,0,0
A100266,2024-01-16,850,2,168499,0,0
A100267,2023-09-06,712,4,323208,0,0
A100268,2024-08-02,781,3,236218,0,0
A100269,2024-06-30,745,4,547129,3,0
A100269,2024-05-29,808,4,43533,0,0
A100270,2024-09-28,850,3,658573,0,0
A100270,2024-08-30,836,2,118893,1,0
A100271,2024-07-21,721,4,28388,0,0
A100272,2024-08-11,800,5,112888,0,0
A100273,2022-01-29,836,1,539407,0,0
A100274,2023-12-18,606,3,1204001,2,0
A100275,2023-11-09,734,4,356206,3,0
A100276,2023-02-15,850,2,373473,0,0
A100277,2025-10-28,850,1,425727,0,0
A100278,2022-09-10,850,1,274146,1,0
A100279,2024-10-16,781,2,105335,1,0
A100280,2022-02-09,761,2,652795,2,0
A100282,2023-12-23,585,4,182021,3,0
A100283,2022-09-17,745,2,155689,0,0
A100284,2023-08-18,637,1,327791,0,0
A100285,2024-12-13,850,2,342742,0,0
A100286,2023-07-04,850,3,143247,1,0
A100287,2022-03-28,850,1,157869,1,0
A100288,2025-01-30,690,1,85002,0,0
A100289,2024-01-29,850,6,105579,1,0
A100290,2024-02-18,780,1,217336,0,0
A100291,2022-03-13,850,3,70068,0,0
A100292,2023-11-01,741,1,41387,0,0
A100293,2024-12-18,781,2,97661,1,0
A100294,2022-06-17,811,4,141296,1,0
A100295,2023-07-27,850,1,158479,0,0
A100296,2025-06-18,836,1,469407,0,1
A100297,2023-10-22,835,2,1087633,0,0
A100298,2023-06-11,627,3,199009,2,0
A100299,2022-07-17,737,2,716427,0,0
A100300,2025-04-13,850,2,133321,0,0
A100301,2023-03-08,769,3,110118,1,0
A100302,2024-09-13,720,3,387562,0,0
A100303,2025-05-12,850,3,228916,2,1
A100304,2024-09-07,850,2,277117,0,1
A100305,2022-07-12,797,3,183117,0,0
A100306,2024-04-25,850,0,295220,0,0
A100307,2024-07-03,833,3,48058,2,0
A100308,2022-08-17,612,4,202976,0,0
A100309,2022-01-10,620,3,214154,2,0
A100310,2025-04-24,697,0,392019,0,0
A100311,2022-04-05,850,3,240863,0,0
A100312,2023-05-17,850,2,382877,1,0
A100313,2025-11-28,741,0,38512,2,0
A100314,2022-02-11,742,2,54486,0,0
A100316,2024-02-06,698,3,62376,0,0
A100318,2025-09-10,657,1,57874,0,0
A100320,2023-08-29,839,0,129640,0,0
A100321,2024-03-27,813,1,61077,2,0
A100322,2023-01-30,768,4,274082,1,0
A100323,2022-01-13,775,2,80493,0,0
A100324,2022-11-06,822,1,200387,3,0
A100326,2025-06-06,850,0,329930,0,0
A100328,2023-10-27,845,2,346408,1,0
A100329,2023-07-16,710,0,258430,2,0
A100330,2024-02-27,632,3,17431,0,0
A100332,2025-10-05,726,0,174588,2,0
A100333,2022-05-27,850,3,99380,1,0
A100334,2023-03-02,800,3,777175,0,0
A100336,2023-11-06,850,0,78042,0,0
A100337,2022-10-25,718,3,108465,0,0
A100338,2025-01-01,812,4,1311491,0,0
A100340,2024-01-09,730,3,63561,1,0
A100341,2023-01-07,820,0,343235,1,0
A100342,2024-05-09,670,4,313088,0,0
A100344,2025-04-29,750,3,104771,1,0
A100345,2023-02-08,784,1,709532,0,0
A100346,2022-07-19,850,1,73788,2,0
A100347,2023-08-03,833,3,106446,0,0
A100347,2023-07-02,797,2,352607,0,0
A100348,2022-01-03,781,0,53954,0,0
A100349,2022-05-06,850,1,155455,0,0
A100350,2025-01-14,819,2,120534,0,0
A100351,2022-04-10,644,4,223517,0,0
A100352,2023-09-29,823,3,413269,1,0
A100353,2022-05-15,814,5,723496,0,0
A100353,2022-04-14,800,0,457894,0,0
A100354,2022-12-19,650,2,316993,2,1
A100355,2023-10-06,727,1,326359,0,1
A100356,2023-04-17,732,3,38352,2,0
A100357,2023-09-28,719,1,194867,2,0
A100358,2022-05-07,612,3,478001,0,1
A100360,2022-05-12,850,3,1058784,0,0
A100361,2024-12-11,619,2,618916,0,0
A100362,2024-09-01,818,0,97056,3,0
A100363,2022-02-27,850,2,132274,0,0
A100364,2023-11-07,753,3,410132,0,1
A100365,2024-09-26,708,0,141474,2,0
A100366,2022-01-10,850,3,600002,0,0
A100367,2025-08-29,752,3,78331,0,0
A100368,2024-11-04,780,1,153315,0,0
A100369,2023-07-27,661,0,386692,0,0
A100370,2023-01-11,689,1,529243,0,0
A100371,2023-11-07,848,5,413317,0,0
A100373,2022-04-28,804,4,98489,2,0
A100374,2022-07-25,732,5,43823,0,0
A100375,2023-08-19,780,2,457648,0,0
A100376,2022-05-11,822,4,154947,0,0
A100377,2025-05-06,652,2,146218,0,2
A100378,2023-12-27,833,3,433546,0,0
A100379,2022-05-24,718,0,445187,0,0
A100380,2022-03-21,708,0,28638,0,0
A100381,2023-10-04,850,1,193691,0,0
A100382,2023-11-28,766,4,64784,0,0
A100383,2023-12-27,689,1,1099380,0,0
A100384,2023-11-07,850,4,84115,0,0
A100385,2023-08-14,719,0,60662,1,0
A100386,2024-05-29,692,0,167163,0,0
A100387,2024-10-13,850,4,128292,0,0
A100388,2024-03-14,707,3,494364,0,0
A100389,2022-08-20,850,0,892733,2,0
A100390,2025-04-09,830,1,190965,0,0
A100391,2025-04-28,850,4,125783,0,0
A100392,2025-08-13,775,2,90721,3,0
A100393,2025-04-18,819,2,588853,0,0
A100394,2025-07-23,727,3,198399,0,0
A100396,2025-03-16,768,3,128748,1,0
A100397,2022-10-14,848,0,28466,0,0
A100398,2025-02-08,780,2,322044,1,0
A100399,2022-09-15,653,1,128969,0,0
A100402,2023-04-30,780,5,596314,0,0
A100403,2022-09-10,752,3,72203,0,0
A100404,2025-04-20,842,1,371899,0,0
A100405,2025-02-02,850,0,284436,0,0
A100406,2023-05-13,753,1,637914,1,0
A100407,2023-07-18,720,0,336475,0,0
A100408,2025-01-02,739,1,290797,0,0
A100409,2023-05-03,742,5,68196,0,0
A100410,2025-06-30,651,0,687806,0,0
A100411,2023-09-23,758,1,107620,1,0
A100412,2023-12-27,732,3,453423,0,0
A100413,2024-08-27,850,4,42220,0,0
A100414,2025-06-08,489,5,133912,0,0
A100415,2022-05-02,812,1,222678,3,0
A100416,2025-08-11,768,2,64194,0,0
A100418,2022-08-27,850,5,176210,3,0
A100419,2025-11-07,850,2,772217,2,0
A100420,2022-01-23,600,1,176856,0,0
A100421,2024-12-10,822,3,373934,0,0
A100422,2025-03-25,850,6,244287,0,0
A100423,2025-12-02,782,4,61749,0,0
A100424,2022-02-14,850,1,731930,1,0
A100425,2022-01-14,724,0,251688,0,0
A100426,2024-07-07,697,0,196710,0,0
A100427,2023-05-19,850,5,44871,2,0
A100428,2022-10-01,762,6,97743,0,0
A100430,2022-01-12,733,1,467141,0,0
A100430,2021-12-12,822,3,155117,3,0
A100431,2022-02-02,666,4,143054,0,1
A100432,2022-05-05,695,1,116676,0,0
A100433,2022-05-20,798,2,139209,0,0
A100434,2023-03-07,742,3,82984,3,0
A100435,2023-12-09,850,3,995081,0,0
A100436,2025-10-09,850,4,83634,0,0
A100437,2024-08-20,850,3,177633,1,0
A100438,2024-02-25,686,7,421444,0,0
A100439,2025-10-27,850,3,316335,3,0
A100440,2025-02-10,850,1,90590,0,0
A100441,2025-09-11,850,3,144820,0,0
A100442,2023-05-08,850,0,214909,0,0
A100443,2025-05-11,719,3,353028,0,0
A100444,2023-10-08,733,2,219115,0,0
A100445,2022-08-30,823,1,164721,0,0
A100445,2022-08-02,806,0,86392,0,0
A100446,2024-03-28,813,2,169969,1,0
A100447,2022-05-14,755,2,52888,0,0
A100447,2022-04-15,849,2,184195,0,0
A100448,2024-05-09,850,1,365748,3,0
A100449,2023-06-10,680,2,691051,1,0
A100451,2023-03-16,788,1,318545,0,0
A100452,2024-04-22,841,4,160969,0,0
A100453,2025-11-27,752,4,45191,0,0
A100454,2024-06-17,850,2,111572,0,0
A100454,2024-05-19,850,4,740480,0,0
A100455,2025-08-29,850,2,67112,0,0
A100456,2025-02-22,670,1,214997,0,0
A100457,2023-05-14,850,2,153374,0,0
A100458,2024-05-24,629,0,459449,1,2
A100459,2022-01-17,680,3,179240,0,0
A100460,2023-09-16,642,1,292624,3,0
A100461,2024-09-10,850,2,40265,0,0
A100462,2022-08-03,850,0,463555,1,0
A100462,2022-07-05,816,2,623542,1,0
A100463,2022-08-29,850,2,577001,1,0
A100465,2025-04-12,850,0,187991,3,0
A100466,2024-12-12,792,2,112847,0,0
A100468,2025-08-11,813,3,904109,0,0
A100469,2024-02-02,806,0,177974,0,0
A100470,2022-08-20,696,1,116118,1,0
A100471,2023-06-22,732,3,54161,0,0
A100472,2025-03-05,713,1,505421,0,0
A100473,2025-08-08,734,0,220031,0,0
A100474,2022-12-21,751,2,136135,3,0
A100475,2024-09-27,850,1,42572,1,0
A100476,2025-08-09,850,2,45281,0,0
A100477,2022-10-31,850,3,368813,0,0
A100478,2024-04-08,850,5,168833,1,0
A100479,2023-04-29,850,0,1287836,0,0
A100479,2023-04-01,795,6,169375,0,0
A100480,2024-09-29,850,2,47996,2,0
A100481,2023-01-20,537,1,82186,1,0
A100482,2024-12-30,644,1,64250,0,0
A100484,2024-08-18,828,1,69763,0,0
A100485,2025-08-27,850,2,170277,0,0
A100487,2023-12-19,820,0,510836,2,0
A100487,2023-11-19,767,2,1021436,0,0
A100488,2023-06-17,721,2,263036,0,0
A100489,2022-09-23,660,2,135422,0,0
A100490,2022-05-10,850,0,517140,2,0
A100491,2024-07-08,850,4,210384,0,0
A100492,2022-12-15,763,4,75536,2,0
A100493,2022-09-07,781,4,266827,0,0
A100493,2022-08-06,813,4,268140,0,0
A100494,2025-10-04,850,2,117869,0,0
A100495,2024-01-12,808,2,53120,2,0
A100496,2025-05-30,776,3,173221,0,0
A100497,2022-06-07,585,5,99748,1,0
A100497,2022-05-07,809,2,87377,3,1
A100498,2025-09-20,850,2,91375,3,0
A100499,2025-06-07,773,3,283228,0,0
A100501,2025-04-27,850,2,80343,0,0
A100502,2024-03-29,592,2,372275,0,0
A100503,2023-01-02,681,3,253966,0,0
A100504,2025-08-27,767,3,105298,0,0
A100505,2024-10-02,841,9,191904,1,0
A100506,2025-03-07,658,1,58275,0,0
A100507,2022-05-09,799,5,305619,1,0
A100508,2025-04-29,709,2,87257,1,0
A100509,2025-09-11,850,2,290420,2,0
A100510,2023-10-21,821,3,673653,0,0
A100510,2023-09-20,559,1,165189,1,0
A100512,2025-05-14,850,2,144813,0,0
A100513,2022-12-05,820,2,143402,0,0
A100514,2024-09-07,784,2,90735,0,0
A100515,2023-04-20,828,0,91722,0,0
A100516,2023-05-30,688,2,227389,0,0
A100517,2025-03-07,839,1,49039,0,0
A100519,2022-11-16,796,5,1783458,0,0
A100520,2024-07-11,850,3,292866,1,0
A100521,2022-11-29,792,0,647278,0,0
A100522,2025-06-24,789,2,49011,0,0
A100522,2025-05-23,634,3,69409,0,0
A100523,2025-01-04,713,5,104639,0,0
A100524,2025-02-19,657,1,316860,0,0
A100525,2023-11-15,850,4,38402,0,0
A100526,2024-11-03,676,2,452795,0,0
A100528,2022-05-25,676,4,204047,0,0
A100529,2023-03-31,850,3,46356,0,0
A100529,2023-02-28,742,3,607224,2,0
A100530,2024-11-25,722,0,26510,0,1
A100531,2022-09-12,753,3,94805,0,0
A100532,2024-08-29,832,2,616104,0,0
A100533,2023-12-04,850,2,93938,0,0
A100535,2025-06-28,691,1,125457,0,0
A100536,2022-09-20,766,1,2270607,0,0
A100537,2022-05-29,753,3,105056,1,0
A100537,2022-04-29,682,1,239623,0,0
A100538,2024-02-01,688,3,369114,0,0
A100538,2023-12-31,830,4,105846,0,0
A100539,2023-01-05,803,0,56134,1,0
A100540,2024-12-26,655,4,61070,0,0
A100541,2024-05-14,760,5,140677,0,0
A100543,2022-01-17,850,0,106442,0,0
A100544,2025-09-16,705,0,473594,0,0
A100545,2024-01-29,804,5,161472,0,0
A100546,2025-08-22,845,1,345334,1,0
A100547,2022-09-05,850,2,194968,0,0
A100548,2025-10-07,729,0,255740,1,0
A100549,2024-09-13,658,3,810570,0,0
A100550,2025-09-23,850,3,38045,1,0
A100552,2024-03-21,850,2,475656,0,0
A100553,2022-04-16,850,4,363546,2,0
A100554,2023-11-09,772,1,216829,1,0
A100555,2022-01-04,665,4,396219,1,0
A100556,2024-08-21,729,3,72757,0,0
A100557,2025-03-10,615,3,422995,0,0
A100558,2025-04-22,850,0,488280,0,0
A100559,2023-01-19,799,2,106634,0,0
A100561,2025-01-27,798,4,114685,0,0
A100563,2023-10-08,850,1,119814,0,0
A100564,2025-10-27,809,0,106893,2,0
A100565,2025-03-14,662,3,22814,1,0
A100566,2023-05-03,850,4,40206,0,0
A100567,2023-08-02,710,5,19978,0,0
A100568,2023-06-09,664,7,190847,0,0
A100569,2022-12-04,774,0,96445,1,0
A100570,2024-05-24,850,0,123091,0,0
A100570,2024-04-23,805,0,166856,0,0
A100571,2025-09-05,617,2,100285,1,0
A100572,2024-01-07,792,6,57633,2,0
A100573,2022-01-11,604,2,80557,0,0
A100574,2025-06-24,787,1,480035,0,0
A100575,2022-09-05,607,5,127349,2,0
A100576,2025-06-20,831,4,429361,0,0
A100577,2022-06-19,722,0,82333,0,1
A100578,2025-04-07,560,7,545090,0,0
A100579,2023-12-12,850,0,172045,0,0
A100580,2024-05-23,832,0,277378,0,0
A100581,2023-08-15,850,2,523921,1,0
A100582,2022-02-11,654,2,175451,1,0
A100583,2025-07-08,639,5,66571,0,0
A100584,2023-04-12,850,3,290110,0,0
A100585,2025-01-07,658,0,155392,0,0
A100586,2022-02-21,666,4,155153,1,0
A100587,2023-10-31,850,3,257680,0,0
A100588,2022-01-20,714,0,443268,0,0
A100589,2023-06-14,844,3,350969,0,0
A100590,2022-03-15,850,2,196761,0,0
A100591,2024-04-17,781,1,765544,2,0
A100592,2022-06-09,756,1,93129,3,0
A100593,2025-11-23,849,0,160177,0,0
A100594,2023-06-19,792,2,332179,0,0
A100595,2025-09-19,850,0,502309,0,0
A100596,2022-09-10,746,4,127002,1,0
A100598,2023-01-22,850,4,90954,2,0
A100599,2023-03-20,566,1,108284,0,0
A100600,2023-09-02,850,1,507249,0,0
A100601,2023-01-09,788,0,493829,1,0
A100602,2025-08-29,619,1,190312,0,0
A100603,2023-04-15,850,2,219061,1,0
A100604,2022-04-15,835,2,591591,0,0
A100605,2025-08-10,823,3,169008,2,0
A100606,2023-11-28,711,1,215444,1,0
A100607,2025-09-26,850,1,132257,0,0
A100608,2024-10-06,595,4,82755,0,0
A100609,2024-10-19,533,0,27484,0,0
A100610,2023-07-04,850,3,47202,0,0
A100611,2024-10-13,747,0,224114,0,0
A100612,2022-03-05,751,2,60761,0,0
A100613,2024-03-05,850,1,105458,0,0
A100614,2022-06-12,731,0,91352,0,0
A100616,2024-11-15,667,2,33789,1,0
A100617,2024-11-18,769,2,346302,0,0
A100618,2023-02-24,653,1,161907,0,0
A100619,2023-05-30,825,4,95422,0,0
A100620,2023-03-15,760,4,27336,0,0
A100621,2024-04-26,850,1,322180,0,0
A100622,2023-02-22,722,3,869925,0,0
A100623,2025-05-05,827,2,161178,0,0
A100624,2022-11-17,693,0,857042,0,0
A100625,2024-07-18,821,2,753325,0,0
A100625,2024-06-16,712,7,452323,0,1
A100626,2025-06-03,642,1,169711,1,0
A100627,2024-11-07,787,3,29777,0,0
A100629,2023-10-22,814,0,201538,1,0
A100630,2025-02-19,850,2,91585,0,0
A100631,2024-08-21,670,6,217707,0,0
A100632,2025-01-27,824,2,175316,1,0
A100633,2022-04-28,658,0,94325,1,0
A100634,2024-03-01,846,3,119934,0,0
A100635,2024-11-26,503,0,82951,0,0
A100636,2025-02-27,821,0,345517,0,0
A100637,2025-07-20,715,1,185003,0,0
A100638,2022-03-07,572,1,570543,0,0
A100639,2022-07-09,748,3,27709,0,0
A100640,2024-08-02,768,4,269943,1,0
A100641,2025-08-02,723,2,217353,1,0
A100642,2023-07-25,741,1,266935,1,0
A100644,2022-12-01,824,0,112869,0,0
A100646,2024-08-20,798,4,189858,0,0
A100647,2023-08-04,706,0,184197,0,0
A100648,2023-04-13,729,1,110641,0,0
A100649,2025-07-27,642,3,110901,0,1
A100650,2022-12-13,649,0,332256,1,0
A100651,2023-12-31,820,3,519534,0,2
A100652,2022-10-27,850,0,212890,0,1
A100653,2024-03-20,805,3,89671,1,0
