account_id,application_date,product_code,loan_amount,term_months,interest_rate,instalment,customer_age,employment_status,monthly_income,months_at_address,months_since_last_enquiry,province,income_verified
A100029,2024-01-05,HP,740618,60,0.2643,28655,39,1,24066,68,2,Bangkok,
A100030,2024-12-03,PL,226710,12,0.2152,22958,40,3,28012,57,12,Bangkok,N
A100031,2022-02-24,PL,121238,36,0.1132,4511,30,1,,15,5,Nakhon Ratchasima,
A100032,2024-10-15,CC,44270,0,0.1053,0,44,1,17132,90,14,Udon Thani,Y
A100033,2022-03-16,PL,245374,24,0.1009,12287,20,1,46662,5,12,Samut Prakan,
A100034,2022-11-11,CC,41725,0,0.1043,0,24,3,29622,43,20,Ubon Ratchathani,
A100035,2022-09-22,HP,352437,36,0.1097,13011,39,2,,40,5,Rayong,
A100036,2023-04-03,PL,412559,24,0.2653,26310,38,9,,97,0,Chiang Mai,
A100037,2023-01-18,PL,196445,12,0.1911,19498,45,1,30476,88,999,Songkhla,
A100038,2022-08-04,HP,194425,60,0.1587,5811,37,1,32405,4,0,Chonburi,
A100039,2023-08-31,PL,172124,24,0.1271,8994,45,1,35490,21,5,Khon Kaen,
A100040,2025-02-05,PL,58348,12,0.2728,6188,34,1,60418,97,11,Ubon Ratchathani,Y
A100041,2024-06-18,HP,713697,72,0.1305,17673,39,1,25161,134,13,Chiang Mai,Y
A100042,2024-02-19,PL,200956,48,0.092,5727,30,1,20851,19,6,Bangkok,
A100043,2025-02-18,PL,95326,48,0.0969,2755,41,2,,122,7,Rayong,Y
A100044,2025-06-18,HP,206093,48,0.1558,6969,20,1,37732,55,999,Songkhla,Y
A100045,2024-09-06,HP,507262,60,0.1054,12909,46,3,21697,11,11,Chonburi,Y
A100046,2025-04-21,PL,59377,36,0.0998,2143,26,1,21065,25,9,Samut Prakan,Y
A100047,2022-05-23,PL,51532,36,0.1304,1991,41,2,,54,11,Phuket,
A100048,2022-10-16,CC,60618,0,0.0,0,26,3,,34,0,Rayong,
A100049,2025-10-24,HP,322529,48,0.1649,11151,38,1,38398,4,8,Chonburi,N
A100050,2024-03-08,HP,872735,60,0.231,31345,48,1,22957,98,2,Khon Kaen,
A100051,2024-01-06,CC,82634,0,0.0939,0,22,2,,8,999,Phuket,
A100052,2025-10-05,PL,94211,12,0.2546,9849,55,2,,40,13,Nakhon Ratchasima,Y
A100053,2022-02-10,PL,124791,48,0.2437,5134,48,1,15281,8,17,Chonburi,
A100054,2022-11-28,CC,50002,0,0.1385,0,58,2,,46,7,Nakhon Ratchasima,
A100055,2023-11-16,HP,440797,60,0.1216,11813,30,1,19686,6,8,Chonburi,
A100056,2024-01-25,HP,320730,60,0.1969,10608,27,2,66387,72,4,Songkhla,
A100057,2022-01-05,HP,401109,36,0.1178,15079,49,1,37415,164,22,Nakhon Ratchasima,
A100058,2022-11-29,CC,43228,0,0.2205,0,26,3,21364,127,8,Nakhon Ratchasima,
A100059,2024-12-06,HP,191065,36,0.102,6931,24,2,,80,13,Ubon Ratchathani,Y
A100060,2022-02-13,HP,90910,48,0.2556,3830,26,1,,64,5,Nakhon Ratchasima,
A100061,2022-12-25,PL,65439,48,0.2046,2479,54,2,,16,4,Bangkok,
A100062,2023-04-26,PL,94187,12,0.2778,10029,24,2,25775,16,12,Udon Thani,
A100063,2024-11-29,HP,273405,36,0.1483,10973,41,1,,36,13,Rayong,Y
A100064,2024-03-23,CC,42394,0,0.1962,0,27,1,28173,111,16,Songkhla,
A100065,2024-03-19,CC,69675,0,0.1406,0,42,1,19057,113,19,Khon Kaen,
A100066,2025-11-16,CC,28636,0,0.0,0,42,3,,32,26,Nonthaburi,Y
A100067,2024-06-04,HP,345482,60,0.1914,11268,20,3,48505,48,8,Chiang Mai,Y
A100068,2025-05-31,PL,136940,12,0.2662,14449,29,3,29000,26,6,Ubon Ratchathani,Y
A100069,2025-12-04,PL,141069,48,0.1081,4209,46,1,25942,88,11,Rayong,Y
A100070,2024-07-26,HP,419523,48,0.1046,12396,40,1,34366,61,20,Ubon Ratchathani,Y
A100071,2024-02-08,HP,288306,72,0.2219,9335,47,1,11343,83,999,Rayong,
A100072,2024-08-06,PL,100094,48,0.2519,4186,50,3,,30,999,Nakhon Ratchasima,N
A100073,2023-05-19,HP,141540,72,0.2047,4380,30,3,17255,93,12,Rayong,
A100074,2023-02-23,HP,203302,36,0.132,7883,31,1,10108,0,20,Ubon Ratchathani,
A100075,2025-05-06,PL,155353,24,0.175,8738,46,3,17144,20,1,Phuket,Y
A100076,2025-10-17,PL,94427,24,0.201,5516,38,3,19890,55,6,Songkhla,Y
A100077,2022-12-05,PL,133621,24,0.2042,7841,50,2,27604,50,13,Khon Kaen,
A100078,2023-05-26,PL,167605,36,0.2621,8316,42,1,13965,74,6,Bangkok,
A100079,2024-12-31,HP,223030,60,0.1372,6267,22,1,39236,80,2,Phuket,Y
A100080,2025-02-23,CC,45123,0,0.1882,0,46,1,35997,17,5,Nakhon Ratchasima,Y
A100081,2023-12-10,HP,529704,60,0.1786,16712,34,1,21525,19,999,Udon Thani,
A100082,2022-06-27,PL,80261,48,0.2155,3113,46,3,,17,21,Udon Thani,
A100083,2024-05-13,HP,183200,72,0.2657,6600,25,2,,29,10,Ubon Ratchathani,Y
A100084,2023-11-07,HP,376979,48,0.2226,14846,56,1,11964,82,999,Ubon Ratchathani,
A100085,2023-11-09,PL,82766,36,0.1311,3203,44,1,13715,110,12,Bangkok,
A100086,2022-05-15,CC,64207,0,0.1287,0,61,2,,28,1,Bangkok,
A100087,2023-04-21,PL,55977,48,0.2602,2379,40,1,,85,15,Phuket,
A100088,2023-11-18,CC,81939,0,0.0,0,34,3,22346,12,13,Songkhla,
A100089,2024-07-10,PL,81426,24,0.2775,5275,47,1,21169,41,20,Songkhla,Y
A100090,2025-06-24,PL,107593,24,0.1889,6176,45,3,47275,66,12,Nakhon Ratchasima,N
A100091,2022-12-20,HP,529254,48,0.1593,18051,53,1,23982,62,6,Rayong,
A100092,2023-01-21,PL,216297,48,0.1527,7258,33,2,14969,4,7,Udon Thani,
A100093,2024-08-10,PL,191828,12,0.16,18543,59,1,29799,104,5,Udon Thani,Y
A100094,2024-03-26,HP,867142,60,0.1194,23080,38,1,25034,38,3,Chiang Mai,
A100095,2025-11-03,HP,748271,72,0.177,21429,32,1,41493,94,11,Nakhon Ratchasima,Y
A100096,2022-03-02,PL,271641,24,0.1496,14704,46,1,48556,68,999,Chiang Mai,
A100097,2023-04-29,PL,94996,36,0.1616,3918,44,1,27812,37,1,Chonburi,
A100098,2023-10-08,HP,164027,48,0.164,5658,47,2,,54,13,Udon Thani,
A100099,2023-02-24,HP,443782,36,0.0946,15825,41,3,36980,72,1,Phuket,
A100100,2022-05-29,HP,323375,60,0.1242,8736,37,2,14145,3,7,Samut Prakan,
A100101,2022-10-22,HP,200629,60,0.2111,6873,29,1,21561,67,6,Nakhon Ratchasima,
A100102,2025-12-02,HP,125138,48,0.2112,4809,27,1,,9,0,Nakhon Ratchasima,N
A100103,2025-03-08,HP,134100,72,0.203,4131,20,1,15081,124,9,Songkhla,Y
A100104,2025-06-22,PL,35339,48,0.1023,1037,41,1,19410,1,3,Khon Kaen,N
A100105,2024-03-24,HP,259901,60,0.1707,8028,38,2,,9,0,Nakhon Ratchasima,
A100106,2024-05-30,HP,265603,36,0.1018,9631,39,1,28327,43,11,Chonburi,Y
A100107,2024-05-04,PL,130134,48,0.2289,5193,55,1,43827,74,0,Chonburi,Y
A100108,2024-08-18,CC,65288,0,0.1212,0,35,1,12006,57,12,Chiang Mai,Y
A100109,2023-05-17,HP,245431,36,0.116,9190,29,1,35977,52,23,Ubon Ratchathani,
A100110,2024-09-19,HP,370702,48,0.2007,13922,20,3,33121,54,17,Khon Kaen,Y
A100111,2024-05-12,PL,103190,36,0.2508,5023,56,3,22852,35,12,Phuket,Y
A100112,2022-04-30,HP,180789,60,0.2611,6946,31,1,26666,24,17,Rayong,
A100113,2024-02-09,CC,72976,0,0.2343,0,47,1,27400,38,13,Bangkok,
A100114,2024-05-19,PL,232521,48,0.1621,7985,36,1,65397,73,9,Nakhon Ratchasima,Y
A100115,2025-07-18,PL,122761,48,0.1087,3669,27,3,26774,110,25,Chiang Mai,Y
A100116,2023-02-24,HP,798072,48,0.1403,25957,37,1,,15,13,Phuket,
A100117,2023-03-06,HP,170085,72,0.1939,5110,24,3,35117,209,15,Phuket,
A100118,2023-11-06,PL,124696,36,0.2648,6215,54,2,,84,3,Chiang Mai,
A100119,2022-06-14,CC,34137,0,0.0952,0,22,3,23356,0,6,Nakhon Ratchasima,
A100120,2025-10-31,HP,618805,36,0.2465,29900,29,2,47095,120,17,Samut Prakan,Y
A100121,2022-02-20,HP,84108,48,0.2567,3551,20,1,18437,47,17,Ubon Ratchathani,
A100122,2024-05-11,CC,39384,0,0.2677,0,37,9,,37,11,Nakhon Ratchasima,Y
A100123,2025-08-02,PL,96985,48,0.103,2852,34,1,34571,40,12,Nakhon Ratchasima,Y
A100124,2024-04-08,HP,341972,48,0.1984,12778,20,1,,34,6,Khon Kaen,Y
A100125,2022-05-06,CC,45090,0,0.0,0,59,2,35572,111,5,Udon Thani,
A100126,2024-03-30,PL,108789,48,0.1334,3475,50,1,20923,47,15,Ubon Ratchathani,
A100127,2025-04-18,HP,350982,36,0.1619,14484,31,1,28311,153,8,Khon Kaen,N
A100128,2022-08-05,PL,184441,48,0.1453,6075,55,1,,22,13,Ubon Ratchathani,
A100129,2024-10-11,HP,185288,72,0.2403,6283,24,2,,10,999,Nakhon Ratchasima,Y
A100130,2024-06-20,PL,117333,48,0.0942,3365,25,1,40678,61,10,Chiang Mai,Y
A100131,2023-06-28,CC,27001,0,0.0911,0,45,1,66794,45,20,Songkhla,
A100132,2022-08-13,PL,165177,36,0.1315,6398,36,1,51074,9,0,Ubon Ratchathani,
A100133,2025-01-24,HP,389378,48,0.2615,16597,50,3,22452,53,999,Phuket,N
A100134,2022-12-03,PL,52430,24,0.1539,2856,46,1,28740,135,12,Chiang Mai,
A100135,2025-08-06,CC,70540,0,0.222,0,44,1,18441,79,11,Samut Prakan,N
A100136,2022-11-11,PL,60547,36,0.101,2191,56,1,77410,3,3,Nonthaburi,
A100137,2024-08-16,CC,43059,0,0.2562,0,48,1,22741,34,8,Ubon Ratchathani,N
A100138,2024-01-26,HP,247613,60,0.251,9306,36,3,11019,29,999,Nakhon Ratchasima,
A100139,2024-02-18,PL,115301,12,0.1174,10736,20,2,31903,26,999,Khon Kaen,
A100140,2024-07-18,CC,52532,0,0.1468,0,44,2,29828,57,5,Samut Prakan,Y
A100141,2022-10-18,HP,154184,36,0.224,7160,41,1,25509,129,999,Chonburi,
A100142,2025-02-27,CC,58888,0,0.2435,0,20,2,92582,66,14,Nonthaburi,Y
A100143,2025-07-27,PL,144421,48,0.1299,4572,43,1,56181,97,16,Ubon Ratchathani,Y
A100144,2022-01-16,CC,32890,0,0.2301,0,51,1,52355,113,9,Khon Kaen,
A100145,2025-12-27,HP,141417,48,0.1825,5096,20,9,,31,999,Samut Prakan,Y
A100146,2025-03-20,PL,132310,12,0.171,12911,32,1,33556,65,13,Chiang Mai,Y
A100147,2023-09-08,PL,94405,48,0.1228,2932,22,3,32913,90,4,Songkhla,
A100148,2023-07-16,HP,400587,36,0.2095,18120,31,1,16453,64,23,Phuket,
A100149,2024-08-26,HP,393495,36,0.1238,14989,42,1,35660,79,7,Samut Prakan,Y
A100150,2025-09-22,CC,18840,0,0.1003,0,38,3,29616,104,9,Samut Prakan,N
A100151,2023-04-02,CC,10131,0,0.1828,0,43,1,56040,37,12,Khon Kaen,
A100152,2025-02-03,PL,154527,36,0.2647,7701,25,1,32249,9,999,Rayong,N
A100153,2023-09-25,PL,35802,12,0.2302,3670,37,1,30988,92,8,Bangkok,
A100154,2025-12-31,PL,247027,48,0.222,9716,43,1,54922,19,20,Rayong,Y
A100155,2025-12-21,PL,98089,36,0.1411,3878,29,1,11195,70,17,Bangkok,Y
A100156,2025-09-08,HP,146674,48,0.1822,5282,31,3,32508,5,25,Phuket,Y
A100157,2025-10-17,PL,97830,48,0.2352,3955,47,3,16496,43,11,Nonthaburi,Y
A100158,2025-01-01,PL,162052,36,0.1593,6652,46,3,22523,50,6,Songkhla,Y
A100159,2024-07-21,PL,44095,48,0.2712,1915,20,3,14776,92,17,Songkhla,Y
A100160,2024-01-16,PL,209706,48,0.1373,6768,33,3,44098,60,4,Ubon Ratchathani,
A100161,2024-04-15,PL,310685,24,0.1539,16929,46,1,29495,46,999,Ubon Ratchathani,Y
A100162,2022-04-01,PL,164822,48,0.24,6730,28,2,43282,4,1,Bangkok,
A100163,2024-01-28,HP,459018,48,0.266,19737,24,1,27571,14,0,Samut Prakan,
A100164,2022-10-25,HP,274592,48,0.1164,8384,33,9,,39,5,Samut Prakan,
A100165,2022-12-31,HP,340935,48,0.2307,13657,27,1,26965,98,2,Udon Thani,
A100166,2022-11-26,PL,74967,24,0.237,4604,44,1,36908,58,8,Chiang Mai,
A100167,2022-04-22,PL,60381,12,0.2284,6181,47,2,11123,76,10,Rayong,
A100168,2023-02-14,HP,572810,60,0.261,22005,31,1,42326,37,24,Ubon Ratchathani,
A100169,2025-12-26,PL,124896,36,0.155,5082,41,1,26642,50,13,Ubon Ratchathani,Y
A100170,2022-03-31,HP,234108,36,0.1584,9593,52,2,,23,999,Songkhla,
A100171,2023-12-09,HP,141081,60,0.207,4784,33,1,36528,55,12,Nakhon Ratchasima,
A100172,2025-09-09,PL,61308,48,0.2214,2408,33,2,35537,15,5,Udon Thani,N
A100173,2023-07-18,PL,154904,12,0.2436,16053,20,1,32438,154,12,Bangkok,
A100174,2025-11-03,HP,507379,48,0.1559,17162,39,1,48208,50,16,Phuket,Y
A100175,2023-12-16,CC,31786,0,0.0,0,29,1,39055,49,4,Samut Prakan,
A100176,2025-11-09,PL,138344,48,0.1945,5124,41,1,23970,32,9,Khon Kaen,Y
A100177,2024-05-09,HP,449026,60,0.2572,17107,41,2,,97,5,Nonthaburi,N
A100178,2025-01-03,PL,284599,24,0.2125,16898,34,1,,71,6,Phuket,Y
A100179,2023-03-30,CC,62416,0,0.1453,0,43,1,18764,100,5,Samut Prakan,
A100180,2024-11-04,HP,157647,48,0.1108,4739,35,1,16197,4,10,Bangkok,Y
A100181,2023-11-15,PL,68610,24,0.2101,4059,48,2,87695,109,5,Bangkok,
A100182,2023-10-13,PL,121598,36,0.1589,4987,33,2,,16,0,Nonthaburi,
A100183,2024-11-16,HP,247533,48,0.1813,8896,40,1,33814,37,15,Nakhon Ratchasima,N
A100184,2022-05-22,CC,42600,0,0.1303,0,40,3,22006,35,7,Nonthaburi,
A100185,2024-04-08,PL,90309,48,0.1,2634,29,2,101394,49,3,Ubon Ratchathani,Y
A100186,2025-04-30,PL,122210,24,0.0976,6086,28,2,63751,77,8,Khon Kaen,Y
A100187,2025-05-28,HP,290306,36,0.1106,10739,20,1,25271,12,999,Samut Prakan,Y
A100188,2023-02-10,PL,60905,24,0.2294,3702,22,1,,33,22,Rayong,
A100189,2025-08-05,HP,166645,48,0.1067,4953,41,3,19079,51,8,Nakhon Ratchasima,Y
A100190,2024-03-04,HP,432822,48,0.2164,16822,29,1,29211,92,18,Nonthaburi,
A100191,2023-01-19,CC,15131,0,0.2705,0,37,1,18428,41,7,Songkhla,
A100192,2025-10-24,CC,48003,0,0.1103,0,27,1,31521,10,999,Chiang Mai,Y
A100193,2022-11-01,CC,75320,0,0.2441,0,32,2,,29,14,Songkhla,
A100194,2022-06-25,PL,62394,24,0.2472,3885,38,1,41806,76,12,Chonburi,
A100195,2025-07-07,CC,65179,0,0.2386,0,56,1,43581,31,7,Bangkok,N
A100196,2023-04-01,PL,138339,48,0.2759,6062,35,3,41200,169,9,Nakhon Ratchasima,
A100197,2023-02-15,PL,171123,36,0.2139,7803,42,2,43102,101,17,Bangkok,
A100198,2022-03-20,HP,412094,36,0.1306,15932,38,1,128102,21,12,Bangkok,
A100199,2022-10-30,HP,352097,48,0.163,12118,43,1,40074,78,999,Khon Kaen,
A100200,2022-04-20,HP,251467,60,0.1415,7156,50,3,18909,73,6,Nonthaburi,
A100201,2022-07-21,PL,45960,24,0.1824,2613,20,1,22280,38,13,Nakhon Ratchasima,
A100202,2023-10-05,PL,135300,24,0.2666,8643,23,2,42050,48,16,Chiang Mai,
A100203,2022-12-06,PL,111735,24,0.2353,6846,29,3,33603,76,9,Udon Thani,
A100204,2023-11-20,HP,276322,48,0.202,10408,42,1,40643,106,10,Bangkok,
A100205,2024-05-20,HP,611514,36,0.1042,22296,32,1,15554,39,0,Khon Kaen,Y
A100206,2024-11-18,PL,46353,36,0.2599,2291,24,1,41253,50,2,Rayong,Y
A100207,2022-02-08,CC,30105,0,0.1943,0,48,2,,58,0,Bangkok,
A100208,2024-09-16,HP,208984,72,0.1932,6267,45,3,52868,50,1,Phuket,Y
A100209,2023-10-08,PL,105318,48,0.2743,4601,55,2,40662,143,6,Phuket,
A100210,2023-04-22,HP,222480,60,0.0973,5511,65,3,28187,102,8,Songkhla,
A100211,2022-04-02,PL,159049,24,0.1721,8908,52,1,29190,41,999,Rayong,
A100212,2024-08-25,HP,284529,48,0.1861,10340,36,2,,112,999,Phuket,Y
A100213,2024-11-05,PL,119048,48,0.2329,4790,21,1,23085,10,0,Songkhla,N
A100214,2022-03-24,PL,64186,48,0.1246,2003,58,2,,90,3,Songkhla,
A100215,2024-11-20,PL,213617,24,0.0903,10508,55,1,34509,9,6,Samut Prakan,Y
A100216,2022-09-06,PL,111401,48,0.1717,3914,49,3,41019,32,11,Songkhla,
A100217,2025-08-16,PL,148017,24,0.1142,7576,30,1,26623,53,17,Udon Thani,N
A100218,2022-07-12,CC,57551,0,0.2596,0,22,1,42365,34,12,Songkhla,
A100219,2025-06-16,CC,64825,0,0.2743,0,37,3,29631,49,7,Rayong,Y
A100220,2022-08-24,PL,51547,24,0.1922,2973,48,3,27982,2,11,Udon Thani,
A100221,2025-04-25,HP,314855,48,0.1016,9225,36,3,22273,69,999,Bangkok,Y
A100222,2024-12-17,PL,173636,36,0.1796,7421,41,2,16337,113,10,Songkhla,Y
A100223,2022-01-25,HP,189595,72,0.2512,6602,48,3,14852,112,19,Nonthaburi,
A100224,2024-08-27,PL,60203,36,0.1128,2238,37,2,,123,1,Nonthaburi,Y
A100225,2024-06-28,PL,123211,36,0.1969,5444,29,3,30271,1,999,Phuket,N
A100226,2025-12-06,HP,621204,36,0.1842,26791,29,3,27955,100,6,Phuket,N
A100227,2025-09-21,HP,710930,72,0.1012,15869,34,3,18768,40,16,Khon Kaen,Y
A100228,2022-09-04,PL,111335,36,0.2465,5379,46,3,26432,78,6,Ubon Ratchathani,
A100229,2023-09-28,HP,817265,60,0.2356,29666,24,1,45649,56,9,Chiang Mai,
A100230,2022-11-10,PL,114974,36,0.2336,5431,28,2,95872,0,5,Nakhon Ratchasima,
A100231,2024-08-14,PL,86494,24,0.2551,5442,39,1,29196,121,9,Chiang Mai,N
A100232,2024-11-09,PL,214385,48,0.1115,6458,32,2,,71,9,Nakhon Ratchasima,Y
A100233,2025-02-28,CC,67970,0,0.268,0,41,1,83305,27,19,Nonthaburi,Y
A100234,2024-12-28,CC,114624,0,0.1809,0,41,1,27813,75,8,Khon Kaen,Y
A100235,2022-07-26,PL,39069,24,0.2623,2481,50,1,34489,32,25,Nonthaburi,
A100236,2024-11-13,HP,1131230,36,0.1616,46656,46,1,22187,132,10,Nakhon Ratchasima,Y
A100237,2025-07-12,PL,39515,48,0.1419,1290,35,1,35948,34,3,Chonburi,Y
A100238,2024-08-30,HP,384214,72,0.0967,8432,26,1,25162,16,7,Samut Prakan,Y
A100239,2024-05-05,CC,71258,0,0.1659,0,42,1,,105,0,Samut Prakan,N
A100240,2024-11-18,HP,190168,48,0.1946,7045,41,3,41122,40,25,Chonburi,Y
A100241,2025-07-15,HP,287732,48,0.2264,11422,37,2,32832,69,9,Bangkok,N
A100242,2022-07-07,PL,113552,24,0.2757,7340,25,1,,57,11,Udon Thani,
A100243,2024-05-21,HP,822806,72,0.128,20204,35,3,15495,97,10,Bangkok,Y
A100244,2022-04-22,PL,81694,48,0.2159,3171,42,1,58746,67,1,Ubon Ratchathani,
A100245,2025-08-02,CC,62747,0,0.0,0,36,3,21212,26,15,Ubon Ratchathani,N
A100246,2022-05-22,PL,126426,36,0.1122,4693,34,2,,52,4,Khon Kaen,
A100247,2024-09-12,PL,81769,24,0.2591,5172,38,1,31493,62,6,Udon Thani,Y
A100248,2025-10-08,PL,160084,48,0.2402,6539,32,1,39421,11,8,Chonburi,N
A100249,2022-08-04,PL,27786,36,0.1372,1089,36,1,28569,172,3,Bangkok,
A100250,2025-05-08,HP,178165,36,0.2309,8377,35,1,21400,67,24,Ubon Ratchathani,Y
A100251,2024-07-17,PL,133724,12,0.2764,14223,27,3,32972,70,3,Khon Kaen,Y
A100252,2022-02-03,PL,153441,48,0.2407,6274,33,2,27088,7,0,Phuket,
A100253,2024-03-06,PL,190195,48,0.2292,7595,32,1,42513,100,999,Chiang Mai,
A100254,2022-08-23,HP,479202,72,0.1525,12745,23,1,47650,118,2,Khon Kaen,
A100255,2024-05-30,PL,109982,12,0.1396,10444,49,1,55727,187,11,Bangkok,Y
A100256,2024-05-26,PL,180436,36,0.0959,6454,39,1,17554,67,12,Songkhla,Y
A100257,2022-07-31,PL,143895,12,0.1142,13360,62,1,23746,35,999,Nakhon Ratchasima,
A100258,2023-01-11,HP,360491,48,0.2775,15846,44,2,17719,135,9,Chiang Mai,
A100259,2022-12-02,PL,153953,48,0.1128,4654,53,1,,58,10,Ubon Ratchathani,
A100260,2022-10-07,CC,32924,0,0.0994,0,23,2,60055,55,9,Nonthaburi,
A100261,2023-12-16,PL,105176,48,0.151,3514,28,2,127139,21,17,Samut Prakan,
A100262,2022-10-02,PL,23644,48,0.1049,699,29,1,36970,41,3,Bangkok,
A100263,2024-05-06,PL,142391,12,0.1839,14048,37,1,44991,24,14,Nonthaburi,Y
A100264,2025-04-27,PL,130046,48,0.1801,4661,38,1,24941,80,17,Phuket,Y
A100265,2025-02-27,HP,232701,48,0.1837,8410,47,1,20389,90,12,Chonburi,Y
A100266,2024-01-19,PL,95527,48,0.2529,4003,47,2,63358,88,15,Khon Kaen,
A100267,2023-09-06,PL,64146,24,0.239,3950,48,1,19997,81,14,Songkhla,
A100268,2024-08-02,PL,194834,48,0.0991,5668,44,1,59616,75,3,Bangkok,Y
A100269,2024-07-01,PL,72563,12,0.236,7473,29,2,,22,20,Ubon Ratchathani,Y
A100270,2024-09-30,PL,128921,48,0.2224,5075,37,1,22130,59,999,Khon Kaen,N
A100271,2024-07-24,HP,207774,60,0.1965,6865,33,1,24900,151,7,Udon Thani,Y
A100272,2024-08-12,PL,86881,12,0.1059,8006,34,1,21837,42,25,Ubon Ratchathani,N
A100273,2022-01-31,HP,310287,48,0.2595,13174,36,2,74357,35,12,Udon Thani,
A100274,2023-12-21,HP,434616,36,0.1324,16867,37,9,,67,11,Bangkok,
A100275,2023-11-11,PL,91545,48,0.2574,3870,27,2,,12,18,Chiang Mai,
A100276,2023-02-17,PL,107966,36,0.2212,4989,44,2,85223,4,17,Khon Kaen,
A100277,2025-10-29,PL,97534,24,0.1824,5546,48,1,39266,76,8,Nakhon Ratchasima,Y
A100278,2022-09-12,PL,142581,36,0.1227,5418,36,1,27328,30,26,Chonburi,
A100279,2024-10-18,PL,140342,36,0.1041,5115,53,2,45566,78,3,Phuket,N
A100280,2022-02-12,HP,295524,72,0.2153,9406,47,1,16651,74,12,Chonburi,
A100281,2023-12-07,PL,117141,36,0.2469,5664,25,3,36953,66,28,Samut Prakan,
A100282,2023-12-26,PL,121970,48,0.1379,3942,20,2,15204,23,17,Nakhon Ratchasima,
A100283,2022-09-20,HP,390249,48,0.1328,12448,20,2,,32,8,Chonburi,
A100284,2023-08-18,PL,222847,24,0.2069,13127,47,2,27435,9,1,Udon Thani,
A100285,2024-12-15,PL,170010,48,0.2115,6538,28,1,24724,76,12,Ubon Ratchathani,Y
A100286,2023-07-04,HP,680202,48,0.093,19442,33,1,20393,119,999,Nonthaburi,
A100287,2022-03-30,HP,344713,60,0.0921,8390,44,1,42765,76,5,Nakhon Ratchasima,
A100288,2025-01-31,HP,1886695,60,0.1301,51899,33,1,56071,77,0,Nonthaburi,Y
A100289,2024-01-31,CC,126751,0,0.0,0,27,1,32204,80,3,Bangkok,
A100290,2024-02-20,CC,23182,0,0.2369,0,31,1,32814,74,4,Rayong,
A100291,2022-03-15,PL,104937,12,0.254,10965,55,1,50408,103,12,Songkhla,
A100292,2023-11-01,CC,171567,0,0.2566,0,58,3,27800,44,22,Chonburi,
A100293,2024-12-20,CC,91055,0,0.2762,0,47,2,,96,13,Nakhon Ratchasima,Y
A100294,2022-06-20,CC,27550,0,0.1758,0,21,3,23287,47,23,Rayong,
A100295,2023-07-27,HP,334496,72,0.1499,8824,55,1,34457,18,25,Rayong,
